pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
TP53 Regulates Transcription Of Genes Involved In Cytochrome C Release R-HSA-6803204,Reactome,2,17,7.08,1.62,1.81,0.034869176393328635,"PRELID1, TRIAP1",0.2774373599990931
Serotonergic synapse,KEGG,6,109,3.31,2.4,1.79,0.03672943124106426,"GNB2, GNG12, GNG5, HTR3B, KCNJ5, PRKCA",0.28806368216206113
Oxidative Stress Induced Senescence R-HSA-2559580,Reactome,5,88,3.42,2.09,1.75,0.03968656051467212,"EED, H2AX, MDM4, MOV10, TFDP1",0.3034211455483244
Miscellaneous Transport And Binding Events R-HSA-5223345,Reactome,2,23,5.23,1.08,1.75,0.039935156652583535,"LRRC8E, NIPA1",0.3034211455483244
GABA Receptor Activation R-HSA-977443,Reactome,4,58,4.15,2.24,1.74,0.04066131877373747,"GNB2, GNG12, GNG5, KCNJ5",0.3034211455483244
DARPP-32 Events R-HSA-180024,Reactome,2,23,5.23,1.1,1.74,0.0408982964855665,"PPP2CA, PRKCA",0.3034211455483244
Antigen processing-Cross Presentation R-HSA-1236975,Reactome,5,94,3.2,1.88,1.73,0.04149465007068626,"PSMC2, PSMC5, SEC14L2, SEC22B, SEM1",0.30374083851742345
G2/M Checkpoints R-HSA-69481,Reactome,6,134,2.69,1.68,1.71,0.04319731781156667,"H2AX, H3-4, NSD2, PSMC2, PSMC5, SEM1",0.3120437826125013
Degradation Of GLI1 By Proteasome R-HSA-5610780,Reactome,4,56,4.3,2.48,1.71,0.04393538634038997,"PRKCA, PSMC2, PSMC5, SEM1",0.31325359871265057
Deadenylation Of mRNA R-HSA-429947,Reactome,2,25,4.81,1.0,1.7,0.04482298755469999,"EIF4A2, EIF4B",0.3154848739426961
Signaling By WNT R-HSA-195721,Reactome,11,255,2.59,3.37,1.68,0.046161908366137025,"GNB2, GNG12, GNG5, H2AX, H3-4, MOV10, PPP2CA, PRKCA, PSMC2, PSMC5, SEM1",0.3207960467469523
ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,Reactome,7,125,3.37,3.45,1.67,0.0471576856536655,"CPAMD8, GNB2, GNG12, GNG5, GPR25, NLRP3, PRKCA",0.3236196177982795
Leishmania Infection R-HSA-9658195,Reactome,10,224,2.68,3.63,1.6,0.055348855886582976,"CPAMD8, CYFIP1, GNB2, GNG12, GNG5, GPR25, MYH2, NLRP3, PRKCA, TARP",0.3607575622585945
RHO GTPases Activate ROCKs R-HSA-5627117,Reactome,2,18,6.68,1.94,1.59,0.055706137373661486,"PPP1R12B, RHOB",0.3607575622585945
Cyclin E Associated Events During G1/S Transition R-HSA-69202,Reactome,4,79,3.05,1.47,1.59,0.055760574140992364,"PSMC2, PSMC5, SEM1, TFDP1",0.3607575622585945
Programmed Cell Death R-HSA-5357801,Reactome,8,192,2.51,2.38,1.59,0.05619055675489085,"CHMP4C, DSG3, PKP1, PSMC2, PSMC5, SEM1, TFDP1, TJP1",0.3607575622585945
mTORC1-mediated Signaling R-HSA-166208,Reactome,2,23,5.23,1.34,1.58,0.05744910987762118,"EIF4B, SLC38A9",0.3607575622585945
p53-Dependent G1 DNA Damage Response R-HSA-69563,Reactome,4,62,3.88,2.44,1.57,0.05798234951474394,"MDM4, PSMC2, PSMC5, SEM1",0.3607575622585945
G1/S DNA Damage Checkpoints R-HSA-69615,Reactome,4,64,3.76,2.31,1.57,0.058172918645950186,"MDM4, PSMC2, PSMC5, SEM1",0.3607575622585945
Glycosphingolipid Metabolism R-HSA-1660662,Reactome,3,45,4.01,1.7,1.57,0.058257542739120476,"CTSA, SMPD1, UGT8",0.3607575622585945
Extra-nuclear Estrogen Signaling R-HSA-9009391,Reactome,4,69,3.49,2.01,1.57,0.05848346637707635,"GNB2, GNG12, GNG5, UHMK1",0.3607575622585945
Activation Of NF-kappaB In B Cells R-HSA-1169091,Reactome,4,64,3.76,2.34,1.56,0.05950760448226222,"CARD11, PSMC2, PSMC5, SEM1",0.3624878493210669
MAPK6/MAPK4 Signaling R-HSA-5687128,Reactome,5,85,3.54,2.86,1.55,0.06042962910759045,"MOV10, PRKCA, PSMC2, PSMC5, SEM1",0.3624878493210669
Nonhomologous End-Joining (NHEJ) R-HSA-5693571,Reactome,3,44,4.1,1.82,1.55,0.06074477620680902,"H2AX, H3-4, NSD2",0.3624878493210669
Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851,Reactome,8,156,3.08,4.08,1.53,0.06315370247968113,"CPAMD8, GNB2, GNG12, GNG5, GPR25, NLRP3, PRKCA, TARP",0.3728105662510209
MicroRNAs in cancer,KEGG,7,152,2.77,2.77,1.52,0.06389571921802897,"APC2, MDM4, MMP16, PRKCA, RDX, TIMP3, TNC",0.3731781899010415
Glutamatergic synapse,KEGG,6,111,3.25,3.3,1.5,0.06690698082605404,"GNB2, GNG12, GNG5, GRIK1, PRKCA, SLC17A8",0.38434285252196715
Apoptosis R-HSA-109581,Reactome,7,163,2.58,2.45,1.49,0.06784877875926243,"DSG3, PKP1, PSMC2, PSMC5, SEM1, TFDP1, TJP1",0.38434285252196715
Mitotic G1 Phase And G1/S Transition R-HSA-453279,Reactome,6,144,2.51,1.86,1.49,0.06790757139277015,"PPP2CA, PSMC2, PSMC5, RPA4, SEM1, TFDP1",0.38434285252196715
ABC Transporter Disorders R-HSA-5619084,Reactome,4,74,3.25,2.0,1.46,0.07188613231698565,"ABCB4, PSMC2, PSMC5, SEM1",0.39555513587709645
Retrograde endocannabinoid signaling,KEGG,6,137,2.63,2.19,1.46,0.0719573213832791,"GNB2, GNG12, GNG5, KCNJ5, PRKCA, SLC17A8",0.39555513587709645
TCR Signaling R-HSA-202403,Reactome,5,107,2.81,2.02,1.45,0.07320581685470019,"CARD11, PSMC2, PSMC5, SEM1, TARP",0.39555513587709645
Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314,Reactome,8,178,2.7,3.4,1.45,0.07335739467237673,"CACNG3, GNB2, GNG12, GNG5, GRIK1, HTR3B, KCNJ5, PRKCA",0.39555513587709645
Gap Junction Trafficking And Regulation R-HSA-157858,Reactome,2,27,4.45,1.2,1.45,0.07401381875807092,"GJA4, TJP1",0.39555513587709645
Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328,Reactome,2,29,4.15,1.05,1.45,0.07421161929934597,"CHMP4C, TUBAL3",0.39555513587709645
Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656,Reactome,4,81,2.97,1.73,1.43,0.07664114452531809,"PSMC2, PSMC5, SEM1, TFDP1",0.4008614699491224
Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482,Reactome,3,46,3.92,1.97,1.43,0.07690420841990901,"CYFIP1, MYH2, TARP",0.4008614699491224
Transmission Across Chemical Synapses R-HSA-112315,Reactome,10,240,2.51,3.88,1.42,0.07742283879810845,"CACNG3, GNB2, GNG12, GNG5, GRIK1, HTR3B, KCNJ5, PPFIA1, PRKCA, STXBP1",0.4008614699491224
Ribosomal Scanning And Start Codon Recognition R-HSA-72702,Reactome,3,54,3.34,1.52,1.39,0.08290406171917081,"EIF3J, EIF4A2, EIF4B",0.4008614699491224
Apoptotic Execution Phase R-HSA-75153,Reactome,3,49,3.68,1.87,1.38,0.08394136809149977,"DSG3, PKP1, TJP1",0.4008614699491224
Signaling By NOTCH R-HSA-157118,Reactome,7,195,2.16,1.79,1.37,0.08500512324293258,"H2AX, MOV10, PBX1, PSMC2, PSMC5, SEM1, TFDP1",0.4008614699491224
Class B/2 (Secretin Family Receptors) R-HSA-373080,Reactome,4,71,3.39,2.5,1.36,0.08639524680290028,"CPAMD8, GNB2, GNG12, GNG5",0.4008614699491224
Regulation Of MECP2 Expression And Activity R-HSA-9022692,Reactome,2,31,3.88,1.04,1.36,0.08698575264314401,"MOV10, PRKCA",0.4008614699491224
Regulation Of Activated PAK-2p34 By Proteasome Mediated Degradation R-HSA-211733,Reactome,3,47,3.84,2.11,1.35,0.08832800724976742,"PSMC2, PSMC5, SEM1",0.4008614699491224
Platelet Homeostasis R-HSA-418346,Reactome,4,81,2.97,1.94,1.35,0.08882705906829891,"GNB2, GNG12, GNG5, PPP2CA",0.4008614699491224
Downstream Signaling Events Of B Cell Receptor (BCR) R-HSA-1168372,Reactome,4,77,3.12,2.18,1.34,0.08954641829210291,"CARD11, PSMC2, PSMC5, SEM1",0.4008614699491224
SMAD2/SMAD3:SMAD4 Heterotrimer Regulates Transcription R-HSA-2173796,Reactome,2,32,3.76,1.0,1.34,0.09021027350853794,"CCNK, TFDP1",0.4008614699491224
PCP/CE Pathway R-HSA-4086400,Reactome,4,80,3.01,2.06,1.33,0.092378964158289,"PRKCA, PSMC2, PSMC5, SEM1",0.4008614699491224
RNA transport,KEGG,6,159,2.27,1.81,1.32,0.09270395100696044,"CYFIP1, EIF3J, EIF4A2, EIF4B, MAGOH, RAE1",0.4008614699491224
Cross-presentation Of Soluble Exogenous Antigens (Endosomes) R-HSA-1236978,Reactome,3,48,3.76,2.11,1.32,0.09273780992560088,"PSMC2, PSMC5, SEM1",0.4008614699491224
Regulation Of Ornithine Decarboxylase (ODC) R-HSA-350562,Reactome,3,48,3.76,2.11,1.32,0.09273780992560088,"PSMC2, PSMC5, SEM1",0.4008614699491224
