pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Viral carcinogenesis,KEGG,8,178,2.7,3.53,1.43,0.07696618142929007,"H2BC11, H2BC12, H2BC13, H2BC17, H2BC6, H2BC7, H4C11, H4C9",0.1972811317095596
Chromosome Maintenance R-HSA-73886,Reactome,6,110,3.28,3.82,1.41,0.07994457685186401,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.20037617604943156
Attenuation Phase R-HSA-3371568,Reactome,2,25,4.81,1.46,1.41,0.0799707608448404,"GML, HSPA1B",0.20037617604943156
HSF1 Activation R-HSA-3371511,Reactome,2,26,4.63,1.46,1.36,0.08740765343633722,"GML, HSPA1B",0.21657674129225776
Metabolism Of Porphyrins R-HSA-189445,Reactome,2,28,4.3,1.38,1.3,0.09623647148497105,"ABCG2, GSTA1",0.23503611642712208
Protein Ubiquitination R-HSA-8852135,Reactome,4,65,3.7,3.28,1.3,0.09696557269639117,"H2BC11, H2BC12, H2BC13, H2BC17",0.23503611642712208
Activation Of Matrix Metalloproteinases R-HSA-1592389,Reactome,2,33,3.64,1.07,1.26,0.10458553847536611,"CMA1, PRSS2",0.24941982181879235
UCH Proteinases R-HSA-5689603,Reactome,4,91,2.64,1.71,1.25,0.10579277211158578,"H2AC1, H2AC11, H2AC14, H2AC7",0.24941982181879235
Cellular Senescence R-HSA-2559583,Reactome,6,158,2.28,2.08,1.25,0.10625508104388015,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.24941982181879235
Deubiquitination R-HSA-5688426,Reactome,8,228,2.11,2.45,1.24,0.10819618156711247,"H2AC1, H2AC11, H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.25133071343193836
Chromatin Modifying Enzymes R-HSA-3247509,Reactome,9,223,2.43,4.46,1.2,0.11574803509877468,"H2AC1, H2AC11, H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17, KDM5D",0.26610115285594593
Detoxification Of Reactive Oxygen Species R-HSA-3299685,Reactome,2,34,3.54,1.12,1.18,0.1182483344547488,"GLYAT, NOX5",0.2690752916674386
Acyl Chain Remodelling Of PE R-HSA-1482839,Reactome,2,29,4.15,1.61,1.17,0.12179324733285718,"PLA2G4C, PLAAT4",0.272192675923408
Metabolism of xenobiotics by cytochrome P450,KEGG,5,63,4.77,8.56,1.16,0.12205949592977938,"CYP2A13, GSTA1, GSTA2, UGT2A2, UGT2A3",0.272192675923408
Xenobiotics R-HSA-211981,Reactome,2,20,6.01,3.49,1.09,0.13713772867459856,"CYP2A13, CYP2C18",0.30278924251916317
Biological Oxidations R-HSA-211859,Reactome,7,198,2.13,2.81,1.07,0.14222415213051298,"CYP2A13, CYP2C18, GLYAT, GSTA1, GSTA2, UGT2A2, UGT2A3",0.31094103848141563
DNA Replication R-HSA-69306,Reactome,6,151,2.39,3.39,1.04,0.14956015033074804,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.3238049856675419
ESR-mediated Signaling R-HSA-8939211,Reactome,6,179,2.02,2.25,0.99,0.16103206680726329,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.3439425312406217
HSF1-dependent Transactivation R-HSA-3371571,Reactome,2,35,3.44,1.52,0.99,0.16194603488908194,"GML, HSPA1B",0.3439425312406217
Porphyrin and chlorophyll metabolism,KEGG,2,37,3.25,1.41,0.96,0.16865957303940288,"UGT2A2, UGT2A3",0.3548215546017627
HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567,Reactome,4,104,2.31,2.05,0.95,0.1706244241122874,"H2BC11, H2BC12, H2BC13, H2BC17",0.3556004352994401
Glutathione Conjugation R-HSA-156590,Reactome,2,33,3.64,1.96,0.93,0.17718204671968457,"GSTA1, GSTA2",0.3658481149860154
Signaling By NOTCH3 R-HSA-9012852,Reactome,2,44,2.73,1.0,0.91,0.1821572040184915,"GATD3, PTCRA",0.37267024308370283
Staphylococcus aureus infection,KEGG,4,81,2.97,4.35,0.9,0.1841111702770865,"DEFB4B, FCGR2B, FCGR2C, HLA-DQB1",0.37324355428900263
Transcriptional Regulation By RUNX1 R-HSA-8878171,Reactome,6,191,1.89,2.28,0.88,0.19061457601387927,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.38294640046031597
Homology Directed Repair R-HSA-5693538,Reactome,4,108,2.23,2.2,0.87,0.19255735000496083,"H2BC11, H2BC12, H2BC13, H2BC17",0.38339543795630593
Retinol metabolism,KEGG,3,58,3.11,3.41,0.86,0.19626012635558365,"CYP2C18, UGT2A2, UGT2A3",0.3870516219468481
TCF Dependent Signaling In Response To WNT R-HSA-201681,Reactome,6,177,2.04,3.21,0.84,0.19931449259569828,"H2AC14, H2AC7, H2BC11, H2BC12, H2BC13, H2BC17",0.3870516219468481
Sensory Perception Of Taste R-HSA-9717189,Reactome,3,45,4.01,5.88,0.84,0.1996006122147423,"SCNN1D, TAS2R20, TAS2R31",0.3870516219468481
Influenza A,KEGG,5,150,2.0,2.62,0.8,0.2132705618328689,"HLA-DQB1, PRSS1, PRSS2, PRSS3, TNFRSF10A",0.4099942697304291
Bile secretion,KEGG,3,80,2.26,1.75,0.78,0.21903986798629205,"ABCG2, UGT2A2, UGT2A3",0.417486244110625
