pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389,Reactome,4,43,5.59,3.5,1.78,0.037741277216587085,"H2BC11, H2BC13, H2BC17, H2BC9",0.17402922272092936
Oxidative Stress Induced Senescence R-HSA-2559580,Reactome,5,88,3.42,2.09,1.75,0.03968656051467212,"H2BC11, H2BC13, H2BC17, H2BC9, KDM6B",0.1804923026146732
Pre-NOTCH Transcription And Translation R-HSA-1912408,Reactome,4,60,4.01,2.14,1.73,0.041912416307807045,"H2BC11, H2BC13, H2BC17, H2BC9",0.18803948938097215
Transcriptional Regulation Of Granulopoiesis R-HSA-9616222,Reactome,4,56,4.3,2.49,1.7,0.04412919856038936,"H2BC11, H2BC13, H2BC17, H2BC9",0.19317442197186654
Azathioprine ADME R-HSA-9748787,Reactome,2,17,7.08,1.84,1.7,0.04422065081283692,"GSTA1, GSTA2",0.19317442197186654
Cytochrome P450 - Arranged By Substrate Type R-HSA-211897,Reactome,4,55,4.37,2.67,1.67,0.047197083419974986,"AHRR, CYP2B6, CYP2C19, CYP3A43",0.20349911292768436
RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459,Reactome,4,59,4.08,2.54,1.61,0.053350537413017596,"H2BC11, H2BC13, H2BC17, H2BC9",0.21998664264204115
Interferon Gamma Signaling R-HSA-877300,Reactome,4,73,3.3,1.7,1.61,0.05367996959395765,"BCL11B, HLA-DQA1, HLA-DQA2, HLA-DQB2",0.21998664264204115
Telomere Extension By Telomerase R-HSA-171319,Reactome,2,21,5.73,1.49,1.61,0.05383039385353352,"RTEL1, TERT",0.21998664264204115
CYP2E1 Reactions R-HSA-211999,Reactome,2,10,12.03,4.24,1.6,0.05461821457070164,"CYP2B6, CYP2C19",0.21998664264204115
HCMV Early Events R-HSA-9609690,Reactome,5,92,3.27,2.31,1.6,0.05514427049837462,"H2BC11, H2BC13, H2BC17, H2BC9, NCOR2",0.21998664264204115
RHO GTPases Activate ROCKs R-HSA-5627117,Reactome,2,18,6.68,1.94,1.59,0.055706137373661486,"MYH14, PKN1",0.21998664264204115
Phase I - Functionalization Of Compounds R-HSA-211945,Reactome,5,94,3.2,2.24,1.59,0.05612067358859002,"AHRR, CES1, CYP2B6, CYP2C19, CYP3A43",0.21998664264204115
Intestinal immune network for IgA production,KEGG,3,43,4.2,1.81,1.59,0.05632188139931777,"HLA-DQA1, HLA-DQA2, HLA-DQB1",0.21998664264204115
Diseases Of Programmed Cell Death R-HSA-9645723,Reactome,4,68,3.54,2.03,1.58,0.05720588195048764,"H2BC11, H2BC13, H2BC17, H2BC9",0.22084131171583601
NoRC Negatively Regulates rRNA Expression R-HSA-427413,Reactome,4,71,3.39,1.89,1.57,0.058506550421137005,"H2BC11, H2BC13, H2BC17, H2BC9",0.22315179374031324
Leishmaniasis,KEGG,4,69,3.49,2.02,1.56,0.05914866822032399,"FCGR3B, HLA-DQA1, HLA-DQA2, HLA-DQB1",0.22315179374031324
Negative Epigenetic Regulation Of rRNA Expression R-HSA-5250941,Reactome,4,74,3.25,1.89,1.5,0.06648865243834098,"H2BC11, H2BC13, H2BC17, H2BC9",0.24543138528895175
Metabolism of xenobiotics by cytochrome P450,KEGG,6,63,5.73,8.56,1.5,0.06653260444580017,"CYP2B6, GSTA1, GSTA2, GSTT2, GSTT2B, UGT2B28",0.24543138528895175
Pre-NOTCH Expression And Processing R-HSA-1912422,Reactome,4,76,3.17,1.89,1.46,0.07201643229269362,"H2BC11, H2BC13, H2BC17, H2BC9",0.2608609310609723
DNA Double-Strand Break Repair R-HSA-5693532,Reactome,6,134,2.69,2.32,1.46,0.07228676402894413,"BRIP1, H2BC11, H2BC13, H2BC17, H2BC9, RTEL1",0.2608609310609723
TCR Signaling R-HSA-202403,Reactome,5,107,2.81,2.02,1.45,0.07320581685470019,"HLA-DQA1, HLA-DQA2, HLA-DQB2, PKN1, TARP",0.2613368945780695
Viral carcinogenesis,KEGG,8,177,2.72,3.51,1.44,0.07523107474999802,"DDX3X, H2BC11, H2BC13, H2BC17, H2BC9, H2BW1, H4C2, H4C5",0.26570975337233343
RHO GTPases Activate PAKs R-HSA-5627123,Reactome,2,21,5.73,1.89,1.43,0.0766917945917715,"MYH14, PKN1",0.2674722627644504
Base Excision Repair R-HSA-73884,Reactome,4,69,3.49,2.43,1.42,0.07734137718490132,"H2BC11, H2BC13, H2BC17, H2BC9",0.2674722627644504
Chromosome Maintenance R-HSA-73886,Reactome,6,110,3.28,3.82,1.41,0.07994457685186401,"H2BC11, H2BC13, H2BC17, H2BC9, RTEL1, TERT",0.27362473726617376
HCMV Infection R-HSA-9609646,Reactome,5,108,2.78,2.16,1.39,0.0823645512243169,"H2BC11, H2BC13, H2BC17, H2BC9, NCOR2",0.2763270585856326
Meiosis R-HSA-1500620,Reactome,4,80,3.01,1.89,1.38,0.08351984869038404,"H2BC11, H2BC13, H2BC17, H2BC9",0.2763270585856326
Chaperonin-mediated Protein Folding R-HSA-390466,Reactome,4,85,2.83,1.65,1.38,0.08377020216923181,"KIF13A, TUBA1A, TUBA1C, TUBA4B",0.2763270585856326
Drug metabolism,KEGG,8,127,3.79,7.42,1.38,0.08406335216008703,"CES1, CYP2B6, CYP2C19, GSTA1, GSTA2, GSTT2, GSTT2B, UGT2B28",0.2763270585856326
Amyloid Fiber Formation R-HSA-977225,Reactome,4,71,3.39,2.52,1.36,0.08724731997795221,"H2BC11, H2BC13, H2BC17, H2BC9",0.2825630927270986
TRP Channels R-HSA-3295583,Reactome,2,25,4.81,1.57,1.35,0.08778898001454438,"MCOLN2, TRPM4",0.2825630927270986
Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582,Reactome,4,76,3.17,2.23,1.35,0.08921291066465342,"H2BC11, H2BC13, H2BC17, H2BC9",0.2825630927270986
Natural killer cell mediated cytotoxicity,KEGG,4,90,2.67,1.52,1.34,0.0893648335432089,"FCGR3B, KLRC3, NCR1, SHC2",0.2825630927270986
Positive Epigenetic Regulation Of rRNA Expression R-HSA-5250913,Reactome,4,70,3.44,2.68,1.34,0.09060555773887963,"H2BC11, H2BC13, H2BC17, H2BC9",0.2837834449934721
Resolution Of D-Loop Structures R-HSA-5693537,Reactome,2,30,4.01,1.16,1.33,0.09235600986390374,"BRIP1, RTEL1",0.28656257266183216
Staphylococcus aureus infection,KEGG,5,81,3.71,4.35,1.32,0.09379991091633699,"CFH, FCGR3B, HLA-DQA1, HLA-DQA2, HLA-DQB1",0.2883478742983693
HDMs Demethylate Histones R-HSA-3214842,Reactome,2,25,4.81,1.69,1.3,0.0960695973945005,"KDM6B, PHF2",0.29261565444930426
Protein Ubiquitination R-HSA-8852135,Reactome,4,65,3.7,3.28,1.3,0.09696557269639117,"H2BC11, H2BC13, H2BC17, H2BC9",0.2926597285018352
RNA Polymerase I Promoter Clearance R-HSA-73854,Reactome,4,75,3.21,2.5,1.29,0.0984323277327036,"H2BC11, H2BC13, H2BC17, H2BC9",0.2944102054707891
RNA Polymerase I Transcription R-HSA-73864,Reactome,4,76,3.17,2.55,1.26,0.1039369008271715,"H2BC11, H2BC13, H2BC17, H2BC9",0.30809867030911553
Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957,Reactome,2,26,4.63,1.76,1.24,0.108084245020246,"TUBA1A, TUBA1C",0.317557250855944
Downstream TCR Signaling R-HSA-202424,Reactome,4,88,2.73,1.91,1.23,0.10908581995210881,"HLA-DQA1, HLA-DQA2, HLA-DQB2, TARP",0.31768852828158
Transcriptional Regulation By Small RNAs R-HSA-5578749,Reactome,4,72,3.34,3.07,1.21,0.1124717585408424,"H2BC11, H2BC13, H2BC17, H2BC9",0.32374017225733814
EPHB-mediated Forward Signaling R-HSA-3928662,Reactome,2,29,4.15,1.49,1.21,0.11311403608991333,"KALRN, PKN1",0.32374017225733814
Butanoate metabolism,KEGG,2,28,4.3,1.62,1.2,0.11466171249059626,"ACSM5, OXCT2",0.3253648593750253
Chromatin Modifying Enzymes R-HSA-3247509,Reactome,9,223,2.43,4.46,1.2,0.11574803509877468,"ARID1B, H2BC11, H2BC13, H2BC17, H2BC9, KDM6B, NCOR2, PHF2, PRDM16",0.3256639631592643
Chemical carcinogenesis,KEGG,9,236,2.29,4.0,1.17,0.12022629980316496,"CYP2B6, CYP2C19, CYP3A43, GSTA1, GSTA2, GSTT2, GSTT2B, SULT1A1, UGT2B28",0.33449439552661625
RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236,Reactome,4,92,2.61,1.89,1.17,0.12090158874456008,"H2BC11, H2BC13, H2BC17, H2BC9",0.33449439552661625
G2/M Checkpoints R-HSA-69481,Reactome,5,134,2.24,1.77,1.16,0.12294275219672185,"BRIP1, H2BC11, H2BC13, H2BC17, H2BC9",0.3373305266885261
HCMV Late Events R-HSA-9610379,Reactome,4,80,3.01,2.79,1.14,0.12752934809205946,"H2BC11, H2BC13, H2BC17, H2BC9",0.34704707841445687
Inflammatory bowel disease,KEGG,3,61,2.96,1.81,1.11,0.13365467702652073,"HLA-DQA1, HLA-DQA2, HLA-DQB1",0.3583578465720965
Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912,Reactome,4,91,2.64,2.17,1.11,0.1338444969124698,"CEP192, NPHP4, SCLT1, TUBA1A",0.3583578465720965
Protein-protein Interactions At Synapses R-HSA-6794362,Reactome,4,88,2.73,2.48,1.08,0.13991617983058496,"DLGAP1, NRXN3, SHANK1, SHANK2",0.37161737363003366
Semaphorin Interactions R-HSA-373755,Reactome,3,63,2.86,1.79,1.07,0.1421379643549861,"MYH14, PKN1, PLXNB3",0.37452225528456656
Retinoid Metabolism And Transport R-HSA-975634,Reactome,2,38,3.17,1.07,1.07,0.14336097079023102,"AKR1B10, RBP1",0.3747704118295803
Toxoplasmosis,KEGG,4,103,2.34,1.75,1.05,0.1479319304788494,"HLA-DQA1, HLA-DQA2, HLA-DQB1, HSPA1A",0.38369844467951564
