pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Infectious Disease R-HSA-5663205,Reactome,24,854,1.69,7.41,0.94,0.1732151064919617,"ARPC2, CHMP1A, CHMP2A, CLTA, FAU, FXYD4, FXYD7, GNAI1, HDAC3, POLR2C, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6, PTH2, RPL13A, RPL15, RPS10, RSL24D1, SAP18, SNF8, TAF13, TUSC3",0.41119760062874383
Generic Transcription Pathway R-HSA-212436,Reactome,24,824,1.75,8.68,0.93,0.17572994826352217,"BNIP3L, CAMK2A, CDK2, CNOT2, COX20, GPX2, HDAC3, LAMTOR1, LAMTOR4, LMO2, MED20, MED27, MEF2C, MLST8, POLR2C, PRKAB1, PRKAG1, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6, PVALB, TAF13",0.41536169589559785
MAPK1/MAPK3 Signaling R-HSA-5684996,Reactome,8,267,1.8,2.54,0.93,0.17691820096941024,"CAMK2A, DUSP6, FGF9, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.41636783504007757
Oncogenic MAPK Signaling R-HSA-6802957,Reactome,3,73,2.47,1.63,0.92,0.1779765563564401,"CAMK2A, DUSP6, QKI",0.4170609432215292
Pancreas Beta Cells,Hallmark,2,39,3.08,1.38,0.91,0.1813754098601097,"LMO2, PAX6",0.42320928967358934
Transmission Across Chemical Synapses R-HSA-112315,Reactome,8,240,2.0,3.88,0.91,0.18242044067598423,"CAMK2A, GABRA1, GNAI1, KCNJ10, LIN7A, NCALD, PRKAB1, PRKAG1",0.4238364281237761
Rab Regulation Of Trafficking R-HSA-9007101,Reactome,5,119,2.53,4.07,0.9,0.1842335096823698,"RAB27A, RAB39A, RAB5C, TRAPPC4, TRAPPC6B",0.42606488573914697
Signaling By FGFR1 In Disease R-HSA-5655302,Reactome,2,35,3.44,1.84,0.9,0.18494025260105829,"ERLIN2, FGF9",0.42606488573914697
Circadian rhythm,KEGG,2,29,4.15,2.76,0.89,0.18658286906975263,"PRKAB1, PRKAG1",0.42804305257178543
G2-M Checkpoint,Hallmark,6,190,1.9,2.3,0.88,0.1891408910260537,"CENPA, CHMP1A, HMGN2, JPT1, MEIS2, PAFAH1B1",0.42833494137378475
Interleukin-10 Signaling R-HSA-6783783,Reactome,2,41,2.93,1.3,0.88,0.19002910130942763,"CCL19, CCL5",0.42833494137378475
Signaling By WNT R-HSA-195721,Reactome,8,255,1.89,3.37,0.88,0.19035883457122205,"CAMK2A, CLTA, PFN1, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.42833494137378475
Ion Channel Transport R-HSA-983712,Reactome,6,161,2.24,3.99,0.88,0.19060499032707012,"ATP6V0E2, ATP6V1D, ATP6V1G1, CAMK2A, FXYD4, FXYD7",0.42833494137378475
HCMV Infection R-HSA-9609646,Reactome,4,108,2.23,2.16,0.88,0.1906325837982229,"CHMP1A, CHMP2A, HDAC3, SNF8",0.42833494137378475
Signaling By NOTCH R-HSA-157118,Reactome,6,195,1.85,2.16,0.87,0.1930688384600182,"HDAC3, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.43112208624707365
Platelet Degranulation R-HSA-114608,Reactome,4,113,2.13,1.91,0.87,0.19345221818778946,"HSPA5, IGF1, MANF, PFN1",0.43112208624707365
Activation Of GABAB Receptors R-HSA-991365,Reactome,2,41,2.93,1.37,0.85,0.19642274734889809,"GNAI1, KCNJ10",0.4359626831402372
Metabolism Of Amino Acids And Derivatives R-HSA-71291,Reactome,10,354,1.7,3.22,0.85,0.19831341238853611,"FAU, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6, RPL13A, RPL15, RPS10, RSL24D1",0.43837701685886926
Interleukin-1 Family Signaling R-HSA-446652,Reactome,5,149,2.02,2.43,0.84,0.2018345297639738,"PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.4443615050448778
Transcriptional Regulation By RUNX1 R-HSA-8878171,Reactome,6,191,1.89,2.54,0.83,0.20331284306641523,"LMO2, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.44581852335045263
Oxytocin signaling pathway,KEGG,5,149,2.02,2.5,0.82,0.20495599482887594,"CAMK2A, GNAI1, MEF2C, PRKAB1, PRKAG1",0.44762389270626507
FGFR2 Mutant Receptor Activation R-HSA-1839126,Reactome,2,32,3.76,2.68,0.82,0.20674449693985414,"FGF9, POLR2C",0.44909063951324424
Axon Guidance R-HSA-422475,Reactome,14,491,1.71,5.51,0.82,0.20727260285226656,"ARPC2, CLTA, FAU, LHX2, PFN1, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6, RPL13A, RPL15, RPS10, RSL24D1",0.44909063951324424
N-glycan Trimming In ER And Calnexin/Calreticulin Cycle R-HSA-532668,Reactome,2,32,3.76,2.76,0.81,0.2098600587344242,"DERL1, DERL2",0.45187554622990905
Regulation Of TP53 Activity R-HSA-5633007,Reactome,5,150,2.0,2.58,0.8,0.21132475471817902,"CDK2, MLST8, PRKAB1, PRKAG1, TAF13",0.45187554622990905
Heme Signaling R-HSA-9707616,Reactome,2,43,2.8,1.37,0.8,0.21139558864777525,"HDAC3, MEF2C",0.45187554622990905
Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,Reactome,4,118,2.04,1.94,0.8,0.2124452056279189,"HSPA5, IGF1, MANF, PFN1",0.45187554622990905
Transport Of Small Molecules R-HSA-382551,Reactome,19,680,1.68,7.69,0.8,0.21296323963000668,"ARL2BP, ATP6V0E2, ATP6V1D, ATP6V1G1, CAMK2A, CLTA, DERL1, DERL2, EIF2S1, ERLIN2, FXYD4, FXYD7, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6, SLC31A1, TUSC3",0.45187554622990905
Cocaine addiction,KEGG,2,48,2.51,1.0,0.79,0.21375016842044203,"BDNF, GNAI1",0.45187554622990905
Transcription-Coupled Nucleotide Excision Repair (TC-NER) R-HSA-6781827,Reactome,3,67,2.69,2.81,0.79,0.21446014928445317,"COPS6, POLD4, POLR2C",0.45187554622990905
Hypoxia,Hallmark,6,191,1.89,2.82,0.79,0.21517883153805195,"ALDOA, BNIP3L, HSPA5, KLF7, MAFF, MIF",0.45187554622990905
Programmed Cell Death R-HSA-5357801,Reactome,6,192,1.88,2.79,0.78,0.21635673489319196,"CHMP2A, PSMA1, PSMA2, PSMA3, PSMB1, PSMB6",0.45260834196047056
Asparagine N-linked Glycosylation R-HSA-446203,Reactome,8,269,1.79,3.51,0.78,0.21862564573879767,"BET1L, DERL1, DERL2, DPM3, MCFD2, TRAPPC4, TRAPPC6B, TUSC3",0.4556091701274181
Ovarian steroidogenesis,KEGG,2,48,2.51,1.07,0.77,0.22114646398193483,"CGA, IGF1",0.45613017342928064
Progesterone-mediated oocyte maturation,KEGG,3,90,2.0,1.17,0.77,0.22133577027541124,"CDK2, GNAI1, IGF1",0.45613017342928064
Clathrin-mediated Endocytosis R-HSA-8856828,Reactome,4,128,1.88,1.54,0.77,0.2213818607303285,"ARPC2, CLTA, COPS6, RAB5C",0.45613017342928064
