pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
NOD-like receptor signaling pathway,KEGG,3,147,1.23,1.4,0.03,0.4878300465318464,"ANTXR1, ITPR1, SUGT1",0.6518331601038294
Metabolism Of Proteins R-HSA-392499,Reactome,30,1745,1.03,10.0,0.03,0.4878327476096043,"ADAMTS16, ASB2, CAPZB, CDC25A, CRHR2, FARSB, GARS1, GNA14, H2AC11, H2AC12, H2BC5, KIN, L3MBTL2, LMAN1, MRPS14, OTOA, PIGX, RAB11A, RAB1A, RAB8A, RECK, RPL22L1, RPL7A, SEC61A2, SEC61B, SLC30A6, SPTAN1, STAT3, TNIP1, TUBA1B",0.6518331601038294
Cellular Response To Starvation R-HSA-9711097,Reactome,3,145,1.24,4.83,0.03,0.48946098263487614,"ATP6V1G3, RPL22L1, RPL7A",0.6518331601038294
Adrenergic signaling in cardiomyocytes,KEGG,3,146,1.24,3.51,0.03,0.48997786590755055,"CACNA2D3, MYH7, PRKCA",0.6518331601038294
Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,Reactome,2,87,1.38,4.84,0.02,0.4918631775715131,"RPL22L1, RPL7A",0.6518331601038294
Coronavirus disease,KEGG,4,208,1.16,1.37,0.02,0.49228479987670287,"PRKCA, RPL22L1, RPL7A, STAT3",0.6518331601038294
MAPK1/MAPK3 Signaling R-HSA-5684996,Reactome,5,267,1.13,2.32,0.02,0.4923628349773214,"BTC, DUSP12, PTPN11, RASGRF1, SPTAN1",0.6518331601038294
HIV Infection R-HSA-162906,Reactome,4,208,1.16,4.12,0.01,0.4955588800333476,"CHMP4C, ELMO1, ELOA, KPNA1",0.6518331601038294
Influenza Infection R-HSA-168255,Reactome,3,148,1.22,5.69,0.01,0.4957778686728418,"KPNA1, RPL22L1, RPL7A",0.6518331601038294
Stimuli-sensing Channels R-HSA-2672351,Reactome,2,89,1.35,2.8,0.01,0.49600935189213197,"TRPV3, TRPV6",0.6518331601038294
Natural killer cell mediated cytotoxicity,KEGG,2,90,1.34,1.52,0.0,0.4990650339669991,"PRKCA, PTPN11",0.6518331601038294
Influenza A,KEGG,3,150,1.2,2.62,0.0,0.4990796405081045,"KPNA1, PRKCA, RAB11A",0.6518331601038294
Nervous System Development R-HSA-9675108,Reactome,9,512,1.06,5.8,-0.0,0.5007845865600189,"ABLIM3, CNTN6, PRKCA, PTPN11, RPL22L1, RPL7A, SEMA7A, SPTAN1, UPF3A",0.6518331601038294
Adaptive Immune System R-HSA-1280218,Reactome,11,663,1.0,3.44,-0.0,0.5016227976159225,"ASB2, CAPZB, CD300LF, CXADR, ITPR1, LRSAM1, NCF2, PRKCA, PTPN11, SEC61A2, SEC61B",0.6518331601038294
Amoebiasis,KEGG,2,91,1.32,2.86,-0.01,0.5025463697671166,"GNA14, PRKCA",0.6518331601038294
Visual Phototransduction R-HSA-2187338,Reactome,2,91,1.32,2.39,-0.01,0.5027845877587924,"GPC6, PRKCA",0.6518331601038294
GnRH signaling pathway,KEGG,2,91,1.32,1.64,-0.01,0.5033686029270823,"ITPR1, PRKCA",0.6518331601038294
UCH Proteinases R-HSA-5689603,Reactome,2,91,1.32,1.25,-0.01,0.5038477055649762,"H2AC11, H2AC12",0.6518331601038294
Muscle Contraction R-HSA-397014,Reactome,3,183,0.99,5.3,-0.01,0.5043234869659341,"ITPR1, KCNH2, PRKCA",0.6518331601038294
Signaling By GPCR R-HSA-372790,Reactome,11,638,1.04,7.4,-0.01,0.50503913319612,"CRHR2, CXCR1, DAGLB, GNA14, GPSM2, HTR1B, ITPR1, PMCH, PRKCA, TAS2R20, TAS2R46",0.6518331601038294
C-type Lectin Receptors (CLRs) R-HSA-5621481,Reactome,2,122,0.99,2.12,-0.01,0.5055642781324092,"ITPR1, PRKCA",0.6518331601038294
Measles,KEGG,2,122,0.99,1.71,-0.02,0.5061986854608588,"STAT3, STAT5B",0.6518331601038294
Hedgehog Off State R-HSA-5610787,Reactome,2,92,1.31,2.04,-0.02,0.506805966811964,"PRKCA, TULP3",0.6518331601038294
Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,Reactome,2,93,1.29,4.88,-0.02,0.5068152841656123,"RPL22L1, RPL7A",0.6518331601038294
Formation Of A Pool Of Free 40S Subunits R-HSA-72689,Reactome,2,93,1.29,4.1,-0.02,0.5074325767861008,"RPL22L1, RPL7A",0.6518331601038294
mRNA surveillance pathway,KEGG,2,92,1.31,1.65,-0.02,0.5075570741064727,"GLE1, UPF3A",0.6518331601038294
DNA Replication Pre-Initiation R-HSA-69002,Reactome,2,123,0.98,2.28,-0.02,0.5084676724882891,"H2BC5, KPNA1",0.6518331601038294
Cargo Recognition For Clathrin-Mediated Endocytosis R-HSA-8856825,Reactome,2,92,1.31,1.21,-0.02,0.5088418322537753,"BTC, ITSN2",0.6518331601038294
L1CAM Interactions R-HSA-373760,Reactome,2,93,1.29,2.32,-0.02,0.509883655531665,"CNTN6, SPTAN1",0.6518331601038294
Host Interactions Of HIV Factors R-HSA-162909,Reactome,2,124,0.97,2.36,-0.03,0.5113258599442816,"ELMO1, KPNA1",0.6518331601038294
SLC-mediated Transmembrane Transport R-HSA-425407,Reactome,4,247,0.97,3.5,-0.03,0.5114593146975237,"ARL2BP, SLC26A9, SLC30A6, SLCO1B1",0.6518331601038294
Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851,Reactome,3,156,1.16,4.08,-0.03,0.5116777487434776,"CRHR2, ITPR1, PRKCA",0.6518331601038294
ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,Reactome,2,125,0.96,3.45,-0.03,0.5118458226787499,"CRHR2, PRKCA",0.6518331601038294
Transport Of Small Molecules R-HSA-382551,Reactome,11,680,0.97,7.69,-0.03,0.5135517033542507,"ABCC6, ARL2BP, ATP10B, ATP6V1G3, PRKCA, RAB11A, SLC26A9, SLC30A6, SLCO1B1, TRPV3, TRPV6",0.6518331601038294
Phase I - Functionalization Of Compounds R-HSA-211945,Reactome,2,94,1.28,2.24,-0.03,0.5135926980965478,"CYP11A1, NQO2",0.6518331601038294
Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,Reactome,3,159,1.13,4.83,-0.04,0.5162685576141472,"RPL22L1, RPL7A, UPF3A",0.6518331601038294
Influenza Viral RNA Transcription And Replication R-HSA-168273,Reactome,2,129,0.93,5.66,-0.04,0.5168017254019308,"RPL22L1, RPL7A",0.6518331601038294
