pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Extracellular Matrix Organization R-HSA-1474244,Reactome,4,273,0.88,2.92,-0.15,0.5599631531873315,"CTSG, CTSS, CTSV, ITGA3",0.7231684124298724
HCMV Infection R-HSA-9609646,Reactome,2,108,1.11,2.16,-0.15,0.5603983243718399,"H2BC12, MVB12A",0.7231684124298724
Transcriptional Regulation By RUNX2 R-HSA-8878166,Reactome,2,111,1.08,2.83,-0.15,0.560854193901798,"MSX2, PSMB7",0.7231684124298724
Phospholipase D signaling pathway,KEGG,2,145,0.83,2.83,-0.16,0.5633220380275202,"CXCR2, DGKA",0.7231684124298724
Autophagy R-HSA-9612973,Reactome,2,110,1.09,2.37,-0.16,0.5635418455937599,"LAMTOR3, MVB12A",0.7231684124298724
Cholinergic synapse,KEGG,2,111,1.08,2.38,-0.17,0.5662524727586422,"CHRNA6, KCNJ2",0.7231684124298724
Bile Acid Metabolism,Hallmark,2,112,1.07,2.37,-0.17,0.5692260195277723,"CYP39A1, SOAT2",0.7231684124298724
Focal adhesion,KEGG,3,179,1.01,2.55,-0.18,0.5696522718166322,"CRK, ITGA3, PAK2",0.7231684124298724
DNA Replication R-HSA-69306,Reactome,2,151,0.8,3.39,-0.18,0.5704161022419552,"H2BC12, PSMB7",0.7231684124298724
Axon Guidance R-HSA-422475,Reactome,7,491,0.86,5.51,-0.18,0.5706536644709734,"CXCR4, GPRIN1, MRPL13, PSMB7, RPL12, SEMA6D, UPF3A",0.7231684124298724
Signaling pathways regulating pluripotency of stem cells,KEGG,2,118,1.02,3.2,-0.19,0.5740938782669893,"FGFR4, MYF5",0.7231684124298724
Mitotic G1 Phase And G1/S Transition R-HSA-453279,Reactome,2,144,0.84,1.86,-0.19,0.5751218976634141,"PSMB7, TYMS",0.7231684124298724
Metabolism Of Amino Acids And Derivatives R-HSA-71291,Reactome,5,354,0.85,3.61,-0.2,0.5777932947368661,"DIDO1, ECHS1, MRPL13, PSMB7, RPL12",0.7231684124298724
Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,Reactome,5,356,0.84,3.82,-0.2,0.5781696772105341,"CTSS, CTSV, PSMB7, RNF14, STX4",0.7231684124298724
Leishmania Infection R-HSA-9658195,Reactome,3,224,0.81,3.63,-0.2,0.5793125457472917,"CRK, CTSG, GPR176",0.7231684124298724
MicroRNAs in cancer,KEGG,2,152,0.79,2.77,-0.2,0.5801162277165314,"BCL2L11, CRK",0.7231684124298724
Signal Transduction R-HSA-162582,Reactome,33,2304,0.86,21.39,-0.2,0.5805410075698886,"ADH7, ARHGAP40, ATP1B4, BCL2L11, CD274, CDC42EP2, CRK, CXCR2, CXCR4, DDX4, DGKA, EDNRB, EPX, FGFBP1, FGFR4, FPR2, FPR3, GPR176, GPRIN1, H2BC12, INSL5, ITGA3, LAMTOR3, LTB4R, NMUR1, PSMB7, RASGEF1A, RBBP5, SSTR4, TIAL1, TULP3, UBD, UCN2",0.7231684124298724
Developmental Biology R-HSA-1266738,Reactome,13,919,0.85,8.44,-0.21,0.5828031402741536,"CELA2A, CXCR4, GPRIN1, H2BC12, HELZ2, MRPL13, MYF5, MYF6, PSMB7, RBBP5, RPL12, SEMA6D, UPF3A",0.7231684124298724
Ion Channel Transport R-HSA-983712,Reactome,2,161,0.75,3.99,-0.21,0.5831789056122643,"CLCN4, SCNN1A",0.7231684124298724
Osteoclast differentiation,KEGG,2,113,1.06,1.77,-0.21,0.5833686820209981,"IFNB1, IL1R1",0.7231684124298724
Signaling By Interleukins R-HSA-449147,Reactome,6,433,0.83,4.59,-0.21,0.5845342519474431,"CRK, CTSG, IL1R1, IL1R2, PSMB7, STX4",0.7231684124298724
Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849,Reactome,2,116,1.04,2.03,-0.22,0.586875572891115,"PARP10, SLC22A13",0.7231684124298724
Nervous System Development R-HSA-9675108,Reactome,7,512,0.82,5.8,-0.22,0.5874519246642802,"CXCR4, GPRIN1, MRPL13, PSMB7, RPL12, SEMA6D, UPF3A",0.7231684124298724
PPARA Activates Gene Expression R-HSA-1989781,Reactome,2,115,1.05,1.68,-0.23,0.5920972298729923,"ANKRD1, HELZ2",0.7231684124298724
