pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Nuclear Envelope (NE) Reassembly R-HSA-2995410,Reactome,2,71,1.69,1.61,0.23,0.40729437375933114,"POM121, TUBA3D",0.8185841467238447
Protein Ubiquitination R-HSA-8852135,Reactome,2,65,1.85,3.28,0.23,0.41095360079949417,"H2BC3, H2BC4",0.8185841467238447
NoRC Negatively Regulates rRNA Expression R-HSA-427413,Reactome,2,71,1.69,1.81,0.22,0.4124809408573254,"H2BC3, H2BC4",0.8185841467238447
Base Excision Repair R-HSA-73884,Reactome,2,69,1.74,2.43,0.21,0.41553016862566705,"H2BC3, H2BC4",0.8185841467238447
Processing Of DNA Double-Strand Break Ends R-HSA-5693607,Reactome,2,73,1.65,1.52,0.21,0.4157113674226942,"H2BC3, H2BC4",0.8185841467238447
GPCR Ligand Binding R-HSA-500792,Reactome,9,415,1.3,8.74,0.21,0.41658391797055183,"PPBP, TAS2R10, TAS2R20, TAS2R30, TAS2R31, TAS2R46, TAS2R5, TAS2R50, TAS2R9",0.8185841467238447
Positive Epigenetic Regulation Of rRNA Expression R-HSA-5250913,Reactome,2,70,1.72,2.68,0.19,0.4237389564926477,"H2BC3, H2BC4",0.8185841467238447
Amyloid Fiber Formation R-HSA-977225,Reactome,2,71,1.69,2.52,0.19,0.42582841645072966,"H2BC3, H2BC4",0.8185841467238447
Negative Epigenetic Regulation Of rRNA Expression R-HSA-5250941,Reactome,2,74,1.63,1.82,0.18,0.42776527500911576,"H2BC3, H2BC4",0.8185841467238447
Pre-NOTCH Expression And Processing R-HSA-1912422,Reactome,2,76,1.58,1.66,0.17,0.434441009379617,"H2BC3, H2BC4",0.8185841467238447
Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453,Reactome,2,77,1.56,1.61,0.15,0.43844892756226184,"POM121, RLN1",0.8185841467238447
RNA Polymerase I Promoter Clearance R-HSA-73854,Reactome,2,75,1.6,2.5,0.14,0.4424049653521722,"H2BC3, H2BC4",0.8185841467238447
Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582,Reactome,2,76,1.58,2.23,0.14,0.4434705584701344,"H2BC3, H2BC4",0.8185841467238447
Necroptosis,KEGG,3,135,1.34,1.65,0.13,0.44655330203139926,"BIRC2, H2AC11, PLA2G4C",0.8185841467238447
RNA Polymerase I Transcription R-HSA-73864,Reactome,2,76,1.58,2.55,0.13,0.44706911175448616,"H2BC3, H2BC4",0.8185841467238447
Fluid shear stress and atherosclerosis,KEGG,3,132,1.37,2.88,0.12,0.45109571816958854,"GSTM1, GSTM2, GSTM5",0.8185841467238447
