pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Ubiquitin Mediated Degradation Of Phosphorylated Cdc25A R-HSA-69601,Reactome,3,49,3.68,1.71,1.44,0.07490798758856239,"PSMA1, PSMA3, PSMB2",0.36679923295056643
Pyroptosis R-HSA-5620971,Reactome,2,25,4.81,1.43,1.42,0.07776586598861959,"CHMP2A, HMGB1",0.36679923295056643
TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312,Reactome,3,48,3.76,1.84,1.42,0.07812246120354971,"CDK1, CDK2, PRMT1",0.36679923295056643
Spinocerebellar ataxia,KEGG,6,132,2.73,2.58,1.41,0.07972250971213762,"FGF14, PSMA1, PSMA3, PSMB2, SLC25A4, TBPL1",0.36679923295056643
C-type lectin receptor signaling pathway,KEGG,4,102,2.36,1.0,1.4,0.08052285276257093,"FCER1G, KRAS, PPP3CA, RRAS2",0.36679923295056643
CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017,Reactome,4,70,3.44,2.46,1.4,0.08126874431740666,"CDK2, PSMA1, PSMA3, PSMB2",0.36679923295056643
Metabolism Of Polyamines R-HSA-351202,Reactome,3,56,3.22,1.4,1.39,0.08276347247402477,"PSMA1, PSMA3, PSMB2",0.36679923295056643
Ribosomal Scanning And Start Codon Recognition R-HSA-72702,Reactome,3,54,3.34,1.52,1.39,0.08290406171917081,"EIF2S1, EIF3I, RPS10",0.36679923295056643
Progesterone-mediated oocyte maturation,KEGG,4,90,2.67,1.43,1.38,0.08313633450976182,"CDK1, CDK2, KRAS, RPS6KA3",0.36679923295056643
Negative Regulation Of FGFR1 Signaling R-HSA-5654726,Reactome,2,31,3.88,1.0,1.38,0.08314448742261094,"FGF13, FGF9",0.36679923295056643
TP53 Regulates Metabolic Genes R-HSA-5628897,Reactome,4,73,3.3,2.3,1.38,0.08337045885034905,"AGO1, COX5A, LAMTOR1, MLST8",0.36679923295056643
Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,Reactome,8,159,3.03,4.83,1.38,0.08422349843502097,"PSMA1, PSMA3, PSMB2, RPL18, RPL21, RPL23A, RPLP2, RPS10",0.36679923295056643
Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184,Reactome,4,70,3.44,2.55,1.37,0.0851346356259911,"CDK1, PSMA1, PSMA3, PSMB2",0.36679923295056643
APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419,Reactome,4,71,3.39,2.5,1.36,0.0863537583913736,"CDK1, PSMA1, PSMA3, PSMB2",0.36679923295056643
Thermogenesis,KEGG,9,208,2.6,4.16,1.35,0.08869711365521088,"ATP5MC1, ATP5ME, COX5A, COX7A1, COX7A2, KRAS, MLST8, RPS6KA3, UQCRH",0.36679923295056643
Downstream Signaling Events Of B Cell Receptor (BCR) R-HSA-1168372,Reactome,4,77,3.12,2.18,1.34,0.08954641829210291,"PPP3CA, PSMA1, PSMA3, PSMB2",0.36679923295056643
Base excision repair,KEGG,2,32,3.76,1.0,1.34,0.09021027350853794,"HMGB1, POLE3",0.36679923295056643
Negative Regulation Of FGFR2 Signaling R-HSA-5654727,Reactome,2,32,3.76,1.0,1.34,0.09021027350853794,"FGF13, FGF9",0.36679923295056643
"Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695",Reactome,3,47,3.84,2.16,1.34,0.09089270634065749,"EIF2S1, EIF3I, RPS10",0.36679923295056643
Stabilization Of P53 R-HSA-69541,Reactome,3,54,3.34,1.64,1.33,0.0909885175285362,"PSMA1, PSMA3, PSMB2",0.36679923295056643
Signaling By FGFR2 IIIa TM R-HSA-8851708,Reactome,2,18,6.68,2.76,1.33,0.09113128571872842,"FGF13, POLR2C",0.36679923295056643
APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,Reactome,4,73,3.3,2.49,1.33,0.09168938851527941,"CDK1, PSMA1, PSMA3, PSMB2",0.36679923295056643
Cristae Formation R-HSA-8949613,Reactome,2,27,4.45,1.42,1.33,0.09183586522567755,"ATP5MC1, ATP5ME",0.36679923295056643
Vpu Mediated Degradation Of CD4 R-HSA-180534,Reactome,3,49,3.68,2.02,1.33,0.09204612258048467,"PSMA1, PSMA3, PSMB2",0.36679923295056643
Pyruvate Metabolism R-HSA-70268,Reactome,2,29,4.15,1.25,1.33,0.09251062093119894,"MPC1, MPC2",0.36679923295056643
Vif-mediated Degradation Of APOBEC3G R-HSA-180585,Reactome,3,50,3.61,1.95,1.32,0.09288678020991586,"PSMA1, PSMA3, PSMB2",0.36679923295056643
G1/S-Specific Transcription R-HSA-69205,Reactome,2,29,4.15,1.25,1.32,0.09296669997989498,"CDK1, LIN52",0.36679923295056643
RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236,Reactome,4,92,2.61,1.49,1.32,0.09350401374277928,"LMO1, PSMA1, PSMA3, PSMB2",0.36679923295056643
GSK3B And BTRC:CUL1-mediated-degradation Of NFE2L2 R-HSA-9762114,Reactome,3,49,3.68,2.05,1.32,0.09393421562474263,"PSMA1, PSMA3, PSMB2",0.36679923295056643
ER-Phagosome Pathway R-HSA-1236974,Reactome,4,79,3.05,2.15,1.32,0.09401955895441128,"HMGB1, PSMA1, PSMA3, PSMB2",0.36679923295056643
Translation Initiation Complex Formation R-HSA-72649,Reactome,3,54,3.34,1.69,1.31,0.09468774337672009,"EIF2S1, EIF3I, RPS10",0.36679923295056643
FBXL7 Down-Regulates AURKA During Mitotic Entry And In Early Mitosis R-HSA-8854050,Reactome,3,52,3.47,1.84,1.31,0.09490197792692578,"PSMA1, PSMA3, PSMB2",0.36679923295056643
AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408,Reactome,3,52,3.47,1.84,1.31,0.09514531264956283,"PSMA1, PSMA3, PSMB2",0.36679923295056643
Eukaryotic Translation Termination R-HSA-72764,Reactome,5,85,3.54,4.04,1.31,0.09579192249349783,"RPL18, RPL21, RPL23A, RPLP2, RPS10",0.36679923295056643
Pathways of neurodegeneration,KEGG,13,402,1.94,3.11,1.3,0.09622022131977886,"ATP5MC1, COX5A, COX7A1, COX7A2, CSNK2A1, EIF2S1, KRAS, PPP3CA, PSMA1, PSMA3, PSMB2, SLC25A4, UQCRH",0.36679923295056643
Amyotrophic lateral sclerosis,KEGG,11,318,2.08,3.17,1.3,0.09734126024561063,"ATP5MC1, COX5A, COX7A1, COX7A2, EIF2S1, NXT1, PPP3CA, PSMA1, PSMA3, PSMB2, UQCRH",0.3680474919738792
"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",Reactome,3,55,3.28,1.68,1.29,0.09834106847897534,"EIF2S1, EIF3I, RPS10",0.3680474919738792
