pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
mRNA Splicing - Major Pathway R-HSA-72163,Reactome,8,174,2.77,3.12,1.56,0.059842251423946044,"CPSF6, EFTUD2, HNRNPA3, HNRNPD, POLR2B, POLR2E, PUF60, RBM17",0.38034648700975
Regulated Necrosis R-HSA-5218859,Reactome,3,53,3.4,1.26,1.55,0.06006347185220894,"CHMP2B, HMGB1, PELI1",0.38034648700975
SHC-mediated cascade:FGFR2 R-HSA-5654699,Reactome,2,22,5.47,1.49,1.55,0.060273487012474036,"FGF18, FGF9",0.38034648700975
L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,Reactome,6,103,3.5,3.59,1.54,0.061208517377869656,"EIF2S1, EIF4E, RPL13A, RPL28, RPL9, RPLP2",0.3818576822778459
Formation Of HIV-1 Elongation Complex Containing HIV-1 Tat R-HSA-167200,Reactome,3,42,4.3,2.02,1.53,0.06291148844905392,"CDK9, POLR2B, POLR2E",0.3827157565294272
Pathways of neurodegeneration,KEGG,14,402,2.09,3.11,1.53,0.063316640497968,"ATP5MC1, ATP5MC3, CHMP2B, COX6A1, DCTN5, EIF2S1, GABARAPL2, GRIA2, NDUFA6, NDUFS5, PPP3CB, PSMA7, TARDBP, UQCRQ",0.3827157565294272
Cap-dependent Translation Initiation R-HSA-72737,Reactome,6,111,3.25,3.18,1.53,0.06343740226626206,"EIF2S1, EIF4E, RPL13A, RPL28, RPL9, RPLP2",0.3827157565294272
mRNA Splicing R-HSA-72172,Reactome,8,179,2.69,3.21,1.48,0.0688651086447935,"CPSF6, EFTUD2, HNRNPA3, HNRNPD, POLR2B, POLR2E, PUF60, RBM17",0.4043118155242012
Formation Of HIV Elongation Complex In Absence Of HIV Tat R-HSA-167152,Reactome,3,44,4.1,1.99,1.48,0.06964397885792073,"CDK9, POLR2B, POLR2E",0.4043118155242012
Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016,Reactome,6,135,2.67,2.23,1.47,0.07012716501089626,"CREB1, CUL1, HMGB1, PELI1, PTPN11, S100A8",0.4043118155242012
Inhibition Of DNA Recombination At Telomere R-HSA-9670095,Reactome,3,45,4.01,1.93,1.47,0.07048921021557761,"H2AC6, POLR2B, POLR2E",0.4043118155242012
Signaling By FGFR2 R-HSA-5654738,Reactome,5,69,4.36,4.63,1.47,0.0706993338621554,"FGF18, FGF9, POLR2B, POLR2E, PTPN11",0.4043118155242012
Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203,Reactome,10,228,2.64,4.16,1.46,0.07195841299423811,"CPSF6, DDX39B, EFTUD2, EIF4E, HNRNPA3, HNRNPD, POLR2B, POLR2E, PUF60, RBM17",0.4072697807612033
MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058,Reactome,5,108,2.78,1.98,1.45,0.07338981805988096,"CREB1, CUL1, HMGB1, PELI1, S100A8",0.41113275627423107
Signaling By NTRK2 (TRKB) R-HSA-9006115,Reactome,2,23,5.23,1.6,1.44,0.07468530449395487,"FYN, PTPN11",0.4121657395830914
PI3K/AKT Signaling In Cancer R-HSA-2219528,Reactome,5,104,2.89,2.2,1.44,0.07507572670001665,"CREB1, FGF18, FGF9, FYN, PTPN11",0.4121657395830914
Signaling By NOTCH2 R-HSA-1980145,Reactome,2,30,4.01,1.0,1.43,0.07624014413948803,"APH1A, CREB1",0.4144142488374151
Pyroptosis R-HSA-5620971,Reactome,2,25,4.81,1.43,1.42,0.07776586598861959,"CHMP2B, HMGB1",0.41856333752698194
Signaling By FGFR R-HSA-190236,Reactome,5,83,3.62,3.7,1.4,0.08122395691739309,"FGF18, FGF9, POLR2B, POLR2E, PTPN11",0.4329315761907651
Signaling By Insulin Receptor R-HSA-74752,Reactome,4,77,3.12,2.03,1.39,0.08221411435356835,"ATP6V1G2, FGF18, FGF9, PTPN11",0.43399566134720213
Negative Regulation Of FGFR1 Signaling R-HSA-5654726,Reactome,2,31,3.88,1.0,1.38,0.08314448742261094,"FGF9, PTPN11",0.43472689138108006
Telomere Maintenance R-HSA-157579,Reactome,5,86,3.5,3.66,1.36,0.08725531915555412,"CHTF8, H2AC6, POLD4, POLR2B, POLR2E",0.4501036111488228
Spliceosome,KEGG,5,126,2.39,1.55,1.35,0.08835604398950464,"DDX39B, EFTUD2, HNRNPA3, PUF60, RBM17",0.4501036111488228
Notch Signaling,Hallmark,2,30,4.01,1.13,1.35,0.08919665837189567,"APH1A, CUL1",0.4501036111488228
Natural killer cell mediated cytotoxicity,KEGG,4,90,2.67,1.52,1.34,0.0893648335432089,"FCER1G, FYN, PPP3CB, PTPN11",0.4501036111488228
