pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Transcriptional Regulation By RUNX1 R-HSA-8878171,Reactome,9,191,2.83,2.29,2.0,0.02252848253821544,"CTSL, CTSV, H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.07406238634438325
DNA Replication Pre-Initiation R-HSA-69002,Reactome,7,123,3.42,2.51,1.99,0.023230286489923185,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.07542673267715799
Trafficking And Processing Of Endosomal TLR R-HSA-1679131,Reactome,2,13,9.25,1.97,1.98,0.02370350721381156,"CTSL, CTSV",0.07602466338088341
Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960,Reactome,3,26,6.94,2.74,1.92,0.027597663708149506,"TUBA3C, TUBA3D, TUBA3E",0.08744801873787132
HCMV Infection R-HSA-9609646,Reactome,6,108,3.34,2.3,1.84,0.03256950682405405,"H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.10029708089493382
Metabolism of xenobiotics by cytochrome P450,KEGG,7,63,6.68,8.56,1.84,0.03292127470020479,"AKR7A2, AKR7L, CYP2A13, CYP2A6, CYP2A7, GSTA1, GSTA2",0.10029708089493382
Glutathione metabolism,KEGG,4,54,4.45,2.28,1.84,0.033008453077537005,"GSTA1, GSTA2, NAT8, NAT8B",0.10029708089493382
Protein Ubiquitination R-HSA-8852135,Reactome,5,65,4.63,3.28,1.84,0.03317812181695529,"H2BC1, H2BC11, H2BC15, H2BC17, H2BC3",0.10029708089493382
Telomere Maintenance R-HSA-157579,Reactome,6,86,4.2,3.66,1.8,0.035918585388807635,"H2AB1, H2BC1, H2BC11, H2BC15, H2BC17, H2BC3",0.10734759042336828
Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328,Reactome,3,29,6.22,2.74,1.77,0.03821100840348075,"TUBA3C, TUBA3D, TUBA3E",0.11194613267306966
PD-1 Signaling R-HSA-389948,Reactome,2,17,7.08,1.7,1.77,0.03830856251169684,"HLA-DQA1, TARP",0.11194613267306966
Role Of Phospholipids In Phagocytosis R-HSA-2029485,Reactome,2,24,5.01,1.0,1.76,0.0393080439862914,"IGLL5, TARP",0.11360456668565534
HATs Acetylate Histones R-HSA-3214847,Reactome,6,97,3.72,3.36,1.69,0.045690661729070034,"H2BC1, H2BC11, H2BC15, H2BC17, H2BC3, H3C7",0.12990795980593453
Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958,Reactome,3,31,5.82,2.74,1.69,0.04593703521654719,"TUBA3C, TUBA3D, TUBA3E",0.12990795980593453
Cytochrome P450 - Arranged By Substrate Type R-HSA-211897,Reactome,4,55,4.37,2.67,1.67,0.047197083419974986,"CYP2A13, CYP2A6, CYP2A7, CYP2C19",0.13162932307013162
Azathioprine ADME R-HSA-9748787,Reactome,2,17,7.08,1.92,1.67,0.04754671365651142,"GSTA1, GSTA2",0.13162932307013162
Interferon Gamma Signaling R-HSA-877300,Reactome,4,73,3.3,1.6,1.66,0.04852230659279831,"GBP2, HLA-DQA1, TRIM22, TRIM5",0.13194899852423692
Phosphorylation Of CD3 And TCR Zeta Chains R-HSA-202427,Reactome,2,16,7.52,2.12,1.66,0.048665600216163424,"HLA-DQA1, TARP",0.13194899852423692
"Sensory Perception Of Sweet, Bitter, And Umami (Glutamate) Taste R-HSA-9717207",Reactome,4,39,6.17,5.37,1.54,0.061396372572984165,"TAS2R10, TAS2R20, TAS2R31, TAS2R5",0.1647678161907636
