pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Degradation Of Extracellular Matrix R-HSA-1474228,Reactome,2,106,1.13,1.2,-0.18,0.5724596512692491,"CAPN11, CAPN8",0.8127383975216228
Leishmania Infection R-HSA-9658195,Reactome,3,224,0.81,3.63,-0.2,0.5793125457472917,"IGLL5, TAAR6, TARP",0.8127383975216228
Ion Channel Transport R-HSA-983712,Reactome,2,161,0.75,3.99,-0.21,0.5831789056122643,"MCOLN2, RNASE3",0.8127383975216228
Fatty Acid Metabolism,Hallmark,2,154,0.78,2.62,-0.22,0.5867784151399221,"ACOT2, INMT",0.8127383975216228
JAK-STAT signaling pathway,KEGG,2,148,0.81,1.76,-0.22,0.5888206757554614,"IFNL2, IFNL3",0.8127383975216228
GPCR Downstream Signaling R-HSA-388396,Reactome,8,590,0.82,6.29,-0.24,0.5937127649888163,"CCL4, CX3CL1, FPR1, HCAR3, MTNR1B, TAAR6, TAS2R13, TAS2R31",0.8137601534112447
Protein Localization R-HSA-9609507,Reactome,2,153,0.79,1.43,-0.29,0.6137927616989243,"ACOT2, ACOT4",0.8205513856742354
Ub-specific Processing Proteases R-HSA-5689880,Reactome,2,157,0.77,1.62,-0.3,0.6182529006235572,"H2BC13, USP18",0.8205513856742354
Signaling By GPCR R-HSA-372790,Reactome,8,638,0.75,7.4,-0.3,0.619233070002223,"CCL4, CX3CL1, FPR1, HCAR3, MTNR1B, TAAR6, TAS2R13, TAS2R31",0.8205513856742354
Cellular Response To Chemical Stress R-HSA-9711123,Reactome,2,176,0.68,3.17,-0.31,0.6210983982347482,"GSTA1, HBA1",0.8205513856742354
TCF Dependent Signaling In Response To WNT R-HSA-201681,Reactome,2,177,0.68,3.21,-0.31,0.6222314677320473,"H2BC13, SOX13",0.8205513856742354
Signaling By Interleukins R-HSA-449147,Reactome,6,433,0.83,2.1,-0.32,0.6237865125788831,"CCL4, FPR1, GSTA2, IFNL2, IFNL3, USP18",0.8205513856742354
Cytokine Signaling In Immune System R-HSA-1280215,Reactome,9,650,0.83,2.63,-0.35,0.6366499645930892,"CCL4, FPR1, GBP2, GSTA2, HLA-DQB2, IFNL2, IFNL3, TRIM31, USP18",0.828584968237728
KRAS Signaling Up,Hallmark,2,189,0.64,3.41,-0.35,0.63834862348927,"CFH, SLPI",0.828584968237728
Mitotic Spindle,Hallmark,2,186,0.65,2.66,-0.39,0.6503808730947459,"ARHGAP27, SHROOM2",0.8300661849228038
Human immunodeficiency virus 1 infection,KEGG,2,183,0.66,2.31,-0.4,0.655201958229959,"APOBEC3C, CGAS",0.8300661849228038
Metabolism Of Vitamins And Cofactors R-HSA-196854,Reactome,2,174,0.69,1.77,-0.4,0.6555398474415259,"AKR1B10, RBP1",0.8300661849228038
p53 Pathway,Hallmark,2,187,0.64,2.51,-0.4,0.6564298911379316,"RALGDS, SLC3A2",0.8300661849228038
Rap1 signaling pathway,KEGG,2,202,0.6,3.13,-0.43,0.6647142793797978,"FPR1, RALGDS",0.8305947787806331
Neuroactive ligand-receptor interaction,KEGG,3,334,0.54,6.7,-0.43,0.6653233687171398,"FPR1, MTNR1B, TAAR6",0.8305947787806331
Metabolism Of Lipids R-HSA-556833,Reactome,9,713,0.76,3.39,-0.47,0.6790810107161419,"ACOT2, ACOT4, ACOT6, ACSM6, CPNE7, OLAH, OXCT2, PLA2G4C, PLAAT2",0.8396553639937715
Hemostasis R-HSA-109582,Reactome,6,517,0.7,3.72,-0.47,0.6811489942602534,"GYPB, IGLL5, RNASE3, SELPLG, SERPINA4, SLC3A2",0.8396553639937715
Signaling By NOTCH R-HSA-157118,Reactome,2,195,0.62,1.79,-0.52,0.6996330636909301,"GATD3, H2BC13",0.8539743674562362
Chemokine signaling pathway,KEGG,2,174,0.69,1.0,-0.53,0.7028586803362971,"CCL4, CX3CL1",0.8539743674562362
RHO GTPase Effectors R-HSA-195258,Reactome,2,241,0.5,3.54,-0.54,0.7059164012007351,"FMNL2, H2BC13",0.8539743674562362
"Platelet Activation, Signaling And Aggregation R-HSA-76002",Reactome,2,236,0.51,2.73,-0.6,0.7248762872033205,"RNASE3, SERPINA4",0.8539743674562362
Ras signaling pathway,KEGG,2,223,0.54,2.24,-0.6,0.726508351481612,"PLA2G4C, RALGDS",0.8539743674562362
