pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Translesion Synthesis By Y Family DNA Polymerases Bypasses Lesions On DNA Template R-HSA-110313,Reactome,2,33,3.64,1.4,1.1,0.13642995869849844,"POLE3, UBA52",0.23742246532663816
Activation Of Kainate Receptors Upon Glutamate Binding R-HSA-451326,Reactome,2,28,4.3,1.95,1.1,0.13643384759953803,"GNG11, GNG12",0.23742246532663816
Thrombin Signaling Thru Proteinase Activated Receptors (PARs) R-HSA-456926,Reactome,2,31,3.88,1.59,1.1,0.13644601977722004,"GNG11, GNG12",0.23742246532663816
Formation Of Incision Complex In GG-NER R-HSA-5696395,Reactome,2,37,3.25,1.1,1.09,0.1383071226988486,"GTF2H5, UBA52",0.2400985798253376
Thermogenesis,KEGG,8,208,2.31,4.16,1.08,0.1397878725970499,"ATP5ME, COX19, COX7A2L, COX8A, COX8C, MAPK14, MLST8, PRKACA",0.24210347165409807
Regulation Of TP53 Activity Thru Acetylation R-HSA-6804758,Reactome,2,29,4.15,1.9,1.07,0.14180178221613438,"AKT3, RBBP7",0.24483014719952303
Oxidative phosphorylation,KEGG,5,112,2.68,3.33,1.07,0.14202125631627782,"ATP5ME, ATP6V1G1, COX7A2L, COX8A, COX8C",0.24483014719952303
Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,Reactome,3,59,3.06,2.11,1.07,0.14318967402206872,"MAPK14, MEF2C, PPP2CB",0.24627298101480802
Transcriptional misregulation in cancer,KEGG,6,174,2.07,2.13,1.06,0.14365591893418422,"CDK9, HMGA2, MEF2C, PBX1, SIX1, SMAD1",0.24632654590977573
Recognition Of DNA Damage By PCNA-containing Replication Complex R-HSA-110314,Reactome,2,27,4.45,2.22,1.06,0.14388387742239928,"POLE3, UBA52",0.24632654590977573
Transcriptional Regulation By VENTX R-HSA-8853884,Reactome,2,38,3.17,1.08,1.06,0.14459112241493122,"ANAPC16, UBE2E1",0.24696828495239975
GABA Receptor Activation R-HSA-977443,Reactome,3,58,3.11,2.24,1.06,0.1455703902545652,"GNAI1, GNG11, GNG12",0.24807064210812374
T cell receptor signaling pathway,KEGG,4,99,2.43,1.98,1.04,0.14930791275133254,"AKT3, MAPK14, MAPK8, PAK3",0.253857618247689
RNA Polymerase II Transcription Termination R-HSA-73856,Reactome,3,63,2.86,1.91,1.04,0.14971231456054185,"LSM10, SRSF5, U2AF2",0.2539640404531566
UV Response Up,Hallmark,6,153,2.36,3.29,1.04,0.15011257566946112,"CDK2, CEBPG, H2AX, PDAP1, POLE3, PRKACA",0.2540454234800985
Asparagine N-linked Glycosylation R-HSA-446203,Reactome,9,269,2.01,3.51,1.03,0.1506914376998823,"ACTR1A, BET1, CNIH3, RNF185, SAR1B, SEC22B, TRAPPC1, TRAPPC2L, UBA52",0.2540454234800985
Wnt signaling pathway,KEGG,6,140,2.58,4.16,1.03,0.1509748415937101,"CSNK1A1, CSNK2A2, CTNNBIP1, MAPK8, PRKACA, RAC3",0.2540454234800985
CLEC7A (Dectin-1) Signaling R-HSA-5607764,Reactome,4,97,2.48,2.12,1.03,0.15112796390067773,"PSMB2, PSMB3, PSMD11, UBA52",0.2540454234800985
MHC Class II Antigen Presentation R-HSA-2132295,Reactome,4,98,2.45,2.1,1.02,0.15300100266765843,"ACTR1A, AP1M1, AP1S3, SAR1B",0.25661341982408625
