pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
HCMV Infection R-HSA-9609646,Reactome,7,108,3.9,2.16,2.42,0.007826923348082628,"DUT, H2AC7, H2BC13, H2BC15, H2BC4, H2BC5, TBL1X",0.05679020749392024
ERCC6 (CSB) And EHMT2 (G9a) Positively Regulate rRNA Expression R-HSA-427389,Reactome,5,43,6.99,3.5,2.42,0.007851014636499964,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.05679020749392024
Glucocorticoid Biosynthesis R-HSA-194002,Reactome,2,10,12.03,1.87,2.41,0.007881914919085017,"CYP11B1, CYP11B2",0.05679020749392024
Transcriptional Regulation Of Granulopoiesis R-HSA-9616222,Reactome,5,56,5.37,2.49,2.37,0.008936288461021458,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.062364886177631154
Pre-NOTCH Transcription And Translation R-HSA-1912408,Reactome,5,60,5.01,2.25,2.36,0.009099502965419493,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.062364886177631154
Processing Of DNA Double-Strand Break Ends R-HSA-5693607,Reactome,5,73,4.12,1.7,2.31,0.010316203324809104,"DNA2, H2BC13, H2BC15, H2BC4, H2BC5",0.06902031272074663
Reproduction R-HSA-1474165,Reactome,6,102,3.54,1.69,2.28,0.011408452504750184,"CATSPER1, H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.07455291055429772
RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459,Reactome,5,59,5.1,2.54,2.25,0.012109915015606171,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.07733832089512123
Diseases Of Programmed Cell Death R-HSA-9645723,Reactome,5,68,4.42,2.25,2.13,0.016396792150708064,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.10238885765219925
NoRC Negatively Regulates rRNA Expression R-HSA-427413,Reactome,5,71,4.24,2.25,2.06,0.019780902494291097,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.12083551306295214
Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565,Reactome,4,55,4.37,1.78,2.05,0.02028891676638548,"H2BC13, H2BC15, H2BC4, H2BC5",0.1212360993326664
Neutrophil extracellular trap formation,KEGG,10,173,3.48,3.78,2.04,0.020836482185003065,"H2AC7, H2AC8, H2BC13, H2BC15, H2BC4, H2BC5, H2BC7, H3C4, H4C4, ITGB2",0.1212360993326664
Base Excision Repair R-HSA-73884,Reactome,5,69,4.36,2.43,2.03,0.02127474439324243,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.1212360993326664
Glutathione Conjugation R-HSA-156590,Reactome,3,33,5.47,1.73,2.02,0.021572259667734232,"GSTA1, GSTA2, GSTM4",0.1212360993326664
Metabolism Of Angiotensinogen To Angiotensins R-HSA-2022377,Reactome,2,18,6.68,1.22,2.0,0.022570751116458298,"CES1, GZMH",0.12236153183552506
Alcoholism,KEGG,10,177,3.4,3.79,1.99,0.023215136797473123,"H2AC7, H2AC8, H2BC13, H2BC15, H2BC4, H2BC5, H2BC7, H3C4, H4C4, SHC2",0.12236153183552506
DNA Double Strand Break Response R-HSA-5693606,Reactome,4,56,4.3,1.83,1.99,0.02343257907574403,"H2BC13, H2BC15, H2BC4, H2BC5",0.12236153183552506
Negative Epigenetic Regulation Of rRNA Expression R-HSA-5250941,Reactome,5,74,4.06,2.25,1.99,0.023514315726399834,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.12236153183552506
Amyloid Fiber Formation R-HSA-977225,Reactome,5,71,4.24,2.52,1.94,0.025986866508085897,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.13143753175699321
Pre-NOTCH Expression And Processing R-HSA-1912422,Reactome,5,76,3.96,2.25,1.94,0.026193956506731744,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.13143753175699321
Activation Of HOX Genes During Differentiation R-HSA-5619507,Reactome,6,83,4.35,3.37,1.93,0.026765699887955966,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5, KDM6A",0.13195020471080046
Positive Epigenetic Regulation Of rRNA Expression R-HSA-5250913,Reactome,5,70,4.3,2.68,1.91,0.028106271265165187,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.1361700383708865
RNA Polymerase I Promoter Clearance R-HSA-73854,Reactome,5,75,4.01,2.5,1.86,0.03120535420315441,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.14862211069637946
Meiosis R-HSA-1500620,Reactome,5,80,3.76,2.25,1.85,0.03199854099780754,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.1498598336730653
RNA Polymerase I Transcription R-HSA-73864,Reactome,5,76,3.96,2.55,1.82,0.034180834289811,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.15745597435142444
E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654,Reactome,4,48,5.01,2.86,1.81,0.03552755127023105,"H2BC13, H2BC15, H2BC4, H2BC5",0.1602082935596023
Telomere Maintenance R-HSA-157579,Reactome,6,86,4.2,3.66,1.8,0.035918585388807635,"DNA2, H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.1602082935596023
Carboxyterminal Post-Translational Modifications Of Tubulin R-HSA-8955332,Reactome,3,39,4.63,1.7,1.78,0.03728572855339329,"AGBL2, TTLL6, TUBB2A",0.1637076519297424
Transcriptional Regulation By Small RNAs R-HSA-5578749,Reactome,5,72,4.18,3.07,1.74,0.0408899605519067,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.17509743063566585
Biological Oxidations R-HSA-211859,Reactome,9,198,2.73,2.81,1.74,0.04112608691086814,"CES1, CYP11B1, CYP11B2, GSTA1, GSTA2, GSTM4, UGT1A3, UGT2B10, UGT3A1",0.17509743063566585
Viral myocarditis,KEGG,3,46,3.92,1.39,1.7,0.04448074978244843,"HLA-DQA2, HLA-DQB1, ITGB2",0.1865535923711643
Oxidative Stress Induced Senescence R-HSA-2559580,Reactome,5,88,3.42,2.25,1.69,0.045290202363982325,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.1871551009452799
HCMV Late Events R-HSA-9610379,Reactome,5,80,3.76,2.79,1.66,0.04818669127072275,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.1953576237248846
Phosphorylation Of CD3 And TCR Zeta Chains R-HSA-202427,Reactome,2,16,7.52,2.12,1.66,0.048665600216163424,"HLA-DQA2, PTPRC",0.1953576237248846
Azathioprine ADME R-HSA-9748787,Reactome,2,17,7.08,1.97,1.65,0.04975825086272055,"GSTA1, GSTA2",0.1969305421468236
RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236,Reactome,5,92,3.27,2.25,1.62,0.05271175501261362,"H2AC7, H2BC13, H2BC15, H2BC4, H2BC5",0.2057222660908948
Leishmaniasis,KEGG,4,69,3.49,2.02,1.56,0.05914866822032399,"FCGR2C, HLA-DQA2, HLA-DQB1, ITGB2",0.2276818598617951
Post-chaperonin Tubulin Folding Pathway R-HSA-389977,Reactome,2,23,5.23,1.38,1.55,0.06004108332973276,"TUBA4B, TUBB2A",0.22799384345479604
Ascorbate and aldarate metabolism,KEGG,2,24,5.01,1.35,1.51,0.0653812514317584,"UGT1A3, UGT2B10",0.24496175536432144
HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567,Reactome,5,104,2.89,2.05,1.49,0.06822111065545343,"DNA2, H2BC13, H2BC15, H2BC4, H2BC5",0.2522385801866107
