pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Formation Of Incision Complex In GG-NER R-HSA-5696395,Reactome,3,37,4.88,2.66,1.49,0.06846153715338486,"DDB1, GTF2H5, SUMO1",0.2730145387662057
Canonical Retinoid Cycle In Rods (Twilight Vision) R-HSA-2453902,Reactome,2,23,5.23,1.51,1.48,0.06901709816684842,"RBP1, RDH16",0.2730145387662057
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,Reactome,5,86,3.5,3.09,1.48,0.06991133599238528,"CD1B, CD1C, CD300LD, KLRC1, PILRA",0.2741260279701423
Dopamine Neurotransmitter Release Cycle R-HSA-212676,Reactome,2,22,5.47,1.67,1.46,0.07158296292983352,"CPLX1, LIN7A",0.274966143603399
Aspirin ADME R-HSA-9749641,Reactome,3,36,5.01,2.88,1.46,0.0719654004913561,"UGT2B10, UGT2B28, UGT2B7",0.274966143603399
Steroid hormone biosynthesis,KEGG,4,47,5.12,4.52,1.46,0.07197100403041987,"UGT1A10, UGT2B10, UGT2B28, UGT2B7",0.274966143603399
Chromatin Modifying Enzymes R-HSA-3247509,Reactome,10,223,2.7,4.46,1.45,0.07405991696146037,"ATXN7, EPC1, H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, HDAC3, RPS2",0.2805490074726507
Processing Of DNA Double-Strand Break Ends R-HSA-5693607,Reactome,4,73,3.3,2.29,1.39,0.08279566596859655,"H2BC13, H2BC4, H2BC9, H3-4",0.3080693426335829
DNA Replication R-HSA-69306,Reactome,7,151,2.79,3.39,1.39,0.0829222595443036,"ANAPC7, H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.3080693426335829
ESR-mediated Signaling R-HSA-8939211,Reactome,7,179,2.35,2.25,1.38,0.08339237239074615,"GNB1, H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9",0.3080693426335829
Influenza Infection R-HSA-168255,Reactome,8,148,3.25,5.69,1.36,0.08615440682029735,"FAU, RPL15, RPL23A, RPL30, RPLP0, RPLP2, RPS10, RPS2",0.3156640971202698
Formation Of Cornified Envelope R-HSA-6809371,Reactome,3,42,4.3,2.61,1.35,0.0888275182755136,"CELA2A, PERP, TGM1",0.3227205486784986
M Phase R-HSA-68886,Reactome,14,357,2.36,5.6,1.34,0.09031980660027772,"ANAPC7, CEP76, CHMP2A, H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, H3-4, PAFAH1B1, PPP2CA, PPP2R2D, SUMO1",0.3227205486784986
Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949,Reactome,3,56,3.22,1.51,1.34,0.09086206643091016,"CRCP, NKIRAS1, POLR3H",0.3227205486784986
DNA Repair R-HSA-73894,Reactome,11,277,2.39,4.4,1.33,0.09137027828993716,"COPS3, DDB1, GTF2H5, H2AB1, H2AC20, H2AC4, H2BC13, H2BC4, H2BC9, H3-4, SUMO1",0.3227205486784986
RNA Polymerase III Transcription Initiation R-HSA-76046,Reactome,2,32,3.76,1.02,1.33,0.09201225860068457,"CRCP, POLR3H",0.3227205486784986
SARS-CoV-2 Modulates Host Translation Machinery R-HSA-9754678,Reactome,3,44,4.1,2.48,1.33,0.09246860642947874,"FAU, RPS10, RPS2",0.3227205486784986
Downstream Signal Transduction R-HSA-186763,Reactome,2,28,4.3,1.34,1.32,0.09313411807500294,"NCK2, SYNGAP1",0.3227205486784986
Formation Of TC-NER Pre-Incision Complex R-HSA-6781823,Reactome,3,43,4.2,2.68,1.3,0.09662358271755833,"COPS3, DDB1, GTF2H5",0.3322364728826814
Myc Targets V1,Hallmark,9,191,2.83,5.73,1.27,0.10265235401141881,"ABCE1, DHX15, HNRNPA1, HNRNPA3, HSPE1, RPLP0, RPS10, RPS2, U2AF1",0.3502717728481237
Cardiac muscle contraction,KEGG,4,77,3.12,2.52,1.25,0.1058663930503892,"CACNB1, CACNG5, TPM2, UQCRH",0.3559097838076848
Bile secretion,KEGG,4,80,3.01,2.32,1.25,0.10598310939665018,"UGT1A10, UGT2B10, UGT2B28, UGT2B7",0.3559097838076848
Negative Regulation Of FGFR3 Signaling R-HSA-5654732,Reactome,2,27,4.45,1.63,1.24,0.10775041286508413,"FGF9, PPP2CA",0.3559097838076848
Interleukin Receptor SHC Signaling R-HSA-912526,Reactome,2,27,4.45,1.64,1.24,0.10804823702904498,"CSF2RA, IL3RA",0.3559097838076848
