pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Retrograde endocannabinoid signaling,KEGG,2,137,0.88,2.19,-0.13,0.5501729338353161,"GABRR3, GNAQ",0.7663025209242861
mRNA Splicing - Major Pathway R-HSA-72163,Reactome,3,174,1.04,3.12,-0.13,0.5528377913765254,"HNRNPK, POLR2E, U2AF1",0.7663025209242861
Glutamatergic synapse,KEGG,2,111,1.08,3.3,-0.14,0.5563910839251793,"GNAQ, SHANK2",0.7663025209242861
Leukocyte transendothelial migration,KEGG,2,107,1.12,2.13,-0.15,0.5576646292871121,"ITGAM, MYL9",0.7663025209242861
Adrenergic signaling in cardiomyocytes,KEGG,2,146,0.82,3.51,-0.15,0.5590462943386936,"GNAQ, TNNC1",0.7663025209242861
Extracellular Matrix Organization R-HSA-1474244,Reactome,4,273,0.88,2.92,-0.15,0.5599631531873315,"CAPN8, ITGAM, TGFB3, TNN",0.7663025209242861
Serotonergic synapse,KEGG,2,109,1.1,2.4,-0.15,0.5602722383916849,"GNAQ, HTR3E",0.7663025209242861
mRNA Splicing R-HSA-72172,Reactome,3,179,1.01,3.21,-0.16,0.5621070619431882,"HNRNPK, POLR2E, U2AF1",0.7663025209242861
Regulation of actin cytoskeleton,KEGG,3,207,0.87,2.33,-0.16,0.5629450487858516,"ITGAM, KNG1, MYL9",0.7663025209242861
Transcriptional misregulation in cancer,KEGG,3,174,1.04,2.13,-0.16,0.563763662740396,"FUT8, HHEX, ITGAM",0.7663025209242861
G Alpha (S) Signaling Events R-HSA-418555,Reactome,2,147,0.82,2.96,-0.17,0.5664200556716734,"MC2R, PTH2R",0.7663025209242861
Hippo signaling pathway,KEGG,2,148,0.81,2.9,-0.17,0.5694062793559539,"FRMD1, TGFB3",0.7663025209242861
Neddylation R-HSA-8951664,Reactome,3,226,0.8,4.7,-0.18,0.5726809537194735,"COPS3, FBXL13, KBTBD6",0.7663025209242861
Cell cycle,KEGG,2,112,1.07,2.15,-0.18,0.5726875701610877,"ANAPC13, TGFB3",0.7663025209242861
Late Phase Of HIV Life Cycle R-HSA-162599,Reactome,2,120,1.0,3.53,-0.19,0.5749690504764571,"ELOA2, POLR2E",0.7663025209242861
Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168,Reactome,4,293,0.82,4.46,-0.19,0.5755233553629053,"ANAPC13, FBXL13, HERC6, KBTBD6",0.7663025209242861
Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,Reactome,4,308,0.78,6.67,-0.2,0.5774910215659402,"CCL7, KISS1R, KNG1, MC2R",0.7663025209242861
Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169,Reactome,5,356,0.84,3.82,-0.2,0.5781696772105341,"ANAPC13, FBXL13, HERC6, KBTBD6, SEC61B",0.7663025209242861
Apoptosis,KEGG,2,161,0.75,4.47,-0.2,0.5786535572977194,"BECN2, MAP3K5",0.7663025209242861
MicroRNAs in cancer,KEGG,2,152,0.79,2.77,-0.2,0.5801162277165314,"HNRNPK, TNN",0.7663025209242861
Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203,Reactome,3,228,0.79,4.16,-0.2,0.5802452183682756,"HNRNPK, POLR2E, U2AF1",0.7663025209242861
Platelet Degranulation R-HSA-114608,Reactome,2,113,1.06,1.76,-0.21,0.5836258089094983,"KNG1, TGFB3",0.7663025209242861
Coronavirus disease,KEGG,3,208,0.87,1.37,-0.21,0.5848120774123386,"RPL11, RPL21, RPL26L1",0.7663025209242861
Neuronal System R-HSA-112316,Reactome,5,379,0.79,5.97,-0.22,0.5858343723402758,"DLGAP2, GABRR3, HTR3E, SHANK2, SLC6A13",0.7663025209242861
SARS-CoV-2-host Interactions R-HSA-9705683,Reactome,2,159,0.76,3.41,-0.22,0.5860697397680851,"CNBP, NLRP12",0.7663025209242861
SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232,Reactome,2,156,0.77,2.5,-0.24,0.5935222530635151,"HNRNPK, MDC1",0.7663025209242861
Hepatocellular carcinoma,KEGG,2,145,0.83,1.26,-0.24,0.5943170816026161,"MGST2, TGFB3",0.7663025209242861
Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005,Reactome,2,118,1.02,1.94,-0.24,0.5947421076929028,"KNG1, TGFB3",0.7663025209242861
Innate Immune System R-HSA-168249,Reactome,13,918,0.85,5.66,-0.25,0.6001061741243259,"ATP6V1B2, BPIFA2, DEFB126, DEFB129, HCK, ITGAM, KLRK1, MNDA, POLR2E, RNASE2, SIGLEC14, TLR10, TRPM2",0.7663025209242861
Transmission Across Chemical Synapses R-HSA-112315,Reactome,3,240,0.75,3.88,-0.26,0.6009539147235343,"GABRR3, HTR3E, SLC6A13",0.7663025209242861
Muscle Contraction R-HSA-397014,Reactome,2,183,0.66,5.3,-0.26,0.6039029674645379,"KCNK15, MYL9",0.7663025209242861
