pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Cytochrome P450 - Arranged By Substrate Type R-HSA-211897,Reactome,7,55,7.65,4.71,2.72,0.0032789181336979004,"CYP2A13, CYP2A6, CYP2A7, CYP2C18, CYP2C19, CYP2C8, CYP2C9",0.030915513832008776
Steroid hormone biosynthesis,KEGG,6,47,7.68,4.52,2.54,0.005601121873340518,"AKR1C4, HSD11B1L, HSD3B1, UGT2B10, UGT2B28, UGT2B7",0.049289872485396555
Drug ADME R-HSA-9748784,Reactome,8,81,5.94,4.67,2.48,0.0065652698068645165,"CYP2C19, CYP2C8, CYP2C9, GLYATL2, GSTM1, UGT2B10, UGT2B28, UGT2B7",0.05416347590663226
Olfactory transduction,KEGG,25,379,3.97,9.35,2.42,0.007718897506659945,"CALML6, OR10A7, OR14K1, OR1D5, OR1L1, OR1M1, OR2G6, OR2T11, OR2T27, OR2Z1, OR4A15, OR4C15, OR4S1, OR51D1, OR51E1, OR51V1, OR52B6, OR56A1, OR56B4, OR5B21, OR5M11, OR6F1, OR6T1, OR7D2, OR8K5",0.05832001780457782
Expression And Translocation Of Olfactory Receptors R-HSA-9752946,Reactome,24,340,4.25,10.39,2.38,0.008766741233425043,"OR10A7, OR14K1, OR1D5, OR1L1, OR1M1, OR2G6, OR2T11, OR2T27, OR2Z1, OR4A15, OR4C15, OR4S1, OR51D1, OR51E1, OR51V1, OR52B6, OR56A1, OR56B4, OR5B21, OR5M11, OR6F1, OR6T1, OR7D2, OR8K5",0.05832001780457782
Olfactory Signaling Pathway R-HSA-381753,Reactome,24,347,4.16,10.1,2.37,0.008902986322482938,"OR10A7, OR14K1, OR1D5, OR1L1, OR1M1, OR2G6, OR2T11, OR2T27, OR2Z1, OR4A15, OR4C15, OR4S1, OR51D1, OR51E1, OR51V1, OR52B6, OR56A1, OR56B4, OR5B21, OR5M11, OR6F1, OR6T1, OR7D2, OR8K5",0.05832001780457782
Fertilization R-HSA-1187000,Reactome,3,22,8.2,2.27,2.36,0.009087116272669267,"ADAM20, CATSPER4, OVGP1",0.05832001780457782
Fatty Acids R-HSA-211935,Reactome,2,9,13.36,2.24,2.35,0.00927818465072829,"CYP2A13, CYP2A7",0.05832001780457782
Drug metabolism,KEGG,12,127,5.68,7.98,2.32,0.010277680445047795,"CYP2A6, CYP2A7, CYP2C19, CYP2C8, CYP2C9, CYP2D6, GSTM1, GSTM2, GSTM5, UGT2B10, UGT2B28, UGT2B7",0.06027259098618134
Glucuronidation R-HSA-156588,Reactome,3,19,9.5,2.89,2.31,0.010502042368804325,"UGT2B10, UGT2B28, UGT2B7",0.06027259098618134
Defensins R-HSA-1461973,Reactome,6,36,10.02,8.05,2.25,0.012081297331083514,"DEFB112, DEFB114, DEFB127, DEFB132, PRSS2, PRSS3",0.06644713532095933
Antimicrobial Peptides R-HSA-6803157,Reactome,7,76,5.54,5.48,2.01,0.022139243164786652,"DEFB112, DEFB114, DEFB127, DEFB132, PRSS2, PRSS3, RNASE7",0.11689520391007352
Ascorbate and aldarate metabolism,KEGG,3,24,7.52,2.89,1.98,0.024097802891658342,"UGT2B10, UGT2B28, UGT2B7",0.11787955420534298
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,Reactome,6,86,4.2,3.05,1.97,0.024416060490850298,"CD1E, CD200R1, CLEC2D, KLRF1, LAIR2, SIGLEC11",0.11787955420534298
Linoleic acid metabolism,KEGG,3,27,6.68,2.49,1.96,0.025166913712178312,"CYP2C19, CYP2C8, CYP2C9",0.11787955420534298
Biological Oxidations R-HSA-211859,Reactome,14,198,4.25,8.62,1.94,0.025897780848143533,"CYP2A13, CYP2A6, CYP2A7, CYP2C18, CYP2C19, CYP2C8, CYP2C9, GLYATL2, GSTM1, GSTM2, GSTM5, UGT2B10, UGT2B28, UGT2B7",0.11787955420534298
