pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
NoRC Negatively Regulates rRNA Expression R-HSA-427413,Reactome,2,71,1.69,1.81,0.22,0.4124809408573254,"H2AC4, H2BC3",0.7566199462945906
Base Excision Repair R-HSA-73884,Reactome,2,69,1.74,2.43,0.21,0.41553016862566705,"H2AC4, H2BC3",0.7566199462945906
Processing Of DNA Double-Strand Break Ends R-HSA-5693607,Reactome,2,73,1.65,1.52,0.21,0.4157113674226942,"H2BC3, SUMO2",0.7566199462945906
ECM-receptor interaction,KEGG,2,74,1.63,1.38,0.21,0.4173041703813939,"CD36, GP5",0.7566199462945906
ISG15 Antiviral Mechanism R-HSA-1169408,Reactome,2,72,1.67,1.84,0.21,0.4184129341535652,"POM121, POM121C",0.7566199462945906
ESR-mediated Signaling R-HSA-8939211,Reactome,4,179,1.34,2.25,0.21,0.41860760241265516,"DAND5, EGF, H2AC4, H2BC3",0.7566199462945906
Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320,Reactome,2,74,1.63,1.48,0.2,0.4200337590235516,"CEP70, CEP72",0.7566199462945906
Host Interactions Of HIV Factors R-HSA-162909,Reactome,3,124,1.46,2.36,0.2,0.42030202944867157,"AP1S2, POM121, POM121C",0.7566199462945906
Glycerophospholipid Biosynthesis R-HSA-1483206,Reactome,3,127,1.42,1.82,0.2,0.4206160627641463,"CPNE7, PCTP, PLAAT3",0.7566199462945906
Centrosome Maturation R-HSA-380287,Reactome,2,75,1.6,1.36,0.2,0.42210567703848784,"CEP70, CEP72",0.7566199462945906
Neutrophil extracellular trap formation,KEGG,4,173,1.39,3.78,0.19,0.4239898857025855,"H2AC4, H2BC3, H4C11, H4C2",0.7566199462945906
Amyloid Fiber Formation R-HSA-977225,Reactome,2,71,1.69,2.52,0.19,0.42582841645072966,"H2AC4, H2BC3",0.7566199462945906
SARS-CoV-2 Infection R-HSA-9694516,Reactome,5,231,1.3,3.46,0.18,0.42714075755778946,"MOGAT2, NLRP3, PARP4, POM121, POM121C",0.7566199462945906
Negative Epigenetic Regulation Of rRNA Expression R-HSA-5250941,Reactome,2,74,1.63,1.82,0.18,0.42776527500911576,"H2AC4, H2BC3",0.7566199462945906
"Platelet Activation, Signaling And Aggregation R-HSA-76002",Reactome,5,236,1.27,2.73,0.18,0.4290580291260133,"ABCC4, CD36, EGF, GP5, PF4",0.7566199462945906
Alcoholism,KEGG,4,177,1.36,3.79,0.17,0.43284621443481175,"H2AC4, H2BC3, H4C11, H4C2",0.7566199462945906
Pre-NOTCH Expression And Processing R-HSA-1912422,Reactome,2,76,1.58,1.66,0.17,0.434441009379617,"H2AC4, H2BC3",0.7566199462945906
Olfactory transduction,KEGG,8,379,1.27,8.86,0.16,0.434963939330574,"OR10J5, OR13C8, OR1Q1, OR1S2, OR51B4, OR5B21, OR6A2, OR9Q1",0.7566199462945906
Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942,Reactome,2,79,1.52,1.26,0.15,0.4417282755677856,"CEP70, CEP72",0.7566199462945906
Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582,Reactome,2,76,1.58,2.23,0.14,0.4434705584701344,"H2AC4, H2BC3",0.7566199462945906
DNA Double-Strand Break Repair R-HSA-5693532,Reactome,3,134,1.35,2.32,0.12,0.451754989473598,"EME2, H2BC3, SUMO2",0.7566199462945906
Estrogen signaling pathway,KEGG,3,135,1.34,2.16,0.12,0.45328655522861383,"HSPA1L, KRT16, KRT32",0.7566199462945906
SLC-mediated Transmembrane Transport R-HSA-425407,Reactome,5,247,1.22,3.5,0.11,0.45802482126028027,"NLRP3, SLC11A2, SLC16A1, SLC2A7, SLC38A5",0.7566199462945906
Influenza Viral RNA Transcription And Replication R-HSA-168273,Reactome,3,129,1.4,5.66,0.1,0.4589234289681216,"POM121, POM121C, RPL36AL",0.7566199462945906
Hepatitis C,KEGG,3,137,1.32,2.6,0.09,0.46317905893058925,"EGF, OAS3, PPP2R2D",0.7566199462945906
Antimicrobial Peptides R-HSA-6803157,Reactome,2,76,1.58,5.48,0.09,0.4638398805276173,"DEFB115, PGLYRP3",0.7566199462945906
IL-6/JAK/STAT3 Signaling,Hallmark,2,84,1.43,1.44,0.07,0.47064867658354503,"CD36, PF4",0.7566199462945906
SARS-CoV Infections R-HSA-9679506,Reactome,6,312,1.16,4.54,0.07,0.4738809864677804,"DPEP3, MOGAT2, NLRP3, PARP4, POM121, POM121C",0.7566199462945906
Staphylococcus aureus infection,KEGG,2,81,1.48,4.35,0.06,0.4744855028420523,"KRT16, KRT32",0.7566199462945906
Chaperonin-mediated Protein Folding R-HSA-390466,Reactome,2,85,1.42,1.65,0.06,0.4771530926297773,"CCT6B, TUBAL3",0.7566199462945906
Activation Of HOX Genes During Differentiation R-HSA-5619507,Reactome,2,83,1.45,3.37,0.06,0.4775992491164134,"H2AC4, H2BC3",0.7566199462945906
Glucose Metabolism R-HSA-70326,Reactome,2,85,1.42,1.84,0.05,0.47836568222144743,"POM121, POM121C",0.7566199462945906
