pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
Diseases Of Programmed Cell Death R-HSA-9645723,Reactome,5,68,4.42,2.03,2.24,0.012384999604277079,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.061428689122008405
Activation Of Matrix Metalloproteinases R-HSA-1592389,Reactome,3,33,5.47,1.4,2.24,0.01243199660802551,"CTSG, CTSV, SPOCK3",0.061428689122008405
Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722,Reactome,5,56,5.37,2.8,2.23,0.012743469725277828,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.06175681482250024
Graft-versus-host disease,KEGG,3,25,7.22,2.16,2.22,0.013240683518063224,"HLA-DPA1, HLA-DPB1, KLRC1",0.06295570276513081
Negative Epigenetic Regulation Of rRNA Expression R-HSA-5250941,Reactome,5,74,4.06,1.82,2.21,0.01360483061384498,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.06348920953127657
Pre-NOTCH Expression And Processing R-HSA-1912422,Reactome,5,76,3.96,1.79,2.17,0.01489429100284012,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.06824293332210382
Viral carcinogenesis,KEGG,10,177,3.4,3.51,2.07,0.01927337782715865,"H2BC10, H2BC11, H2BC12, H2BC13, H2BC15, H2BC17, H2BC8, H2BW1, H2BW2, H4C9",0.08673020022221392
Meiosis R-HSA-1500620,Reactome,5,80,3.76,1.82,2.06,0.01971796667570617,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.08717416846101676
Base Excision Repair R-HSA-73884,Reactome,5,69,4.36,2.43,2.03,0.02127474439324243,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.09243509632926021
Trafficking And Processing Of Endosomal TLR R-HSA-1679131,Reactome,2,13,9.25,2.0,1.97,0.02431189071141904,"CTSL, CTSV",0.1038406179538576
Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582,Reactome,5,76,3.96,2.23,1.95,0.025747069767513626,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.10735557967274831
Amyloid Fiber Formation R-HSA-977225,Reactome,5,71,4.24,2.52,1.94,0.025986866508085897,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.10735557967274831
Asthma,KEGG,3,26,6.94,2.72,1.92,0.027187775563289173,"HLA-DPA1, HLA-DPB1, RNASE3",0.11050515228949792
HDACs Deacetylate Histones R-HSA-3214815,Reactome,5,59,5.1,3.52,1.91,0.027900681948633585,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.11066844310658792
Positive Epigenetic Regulation Of rRNA Expression R-HSA-5250913,Reactome,5,70,4.3,2.68,1.91,0.028106271265165187,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.11066844310658792
Selenocompound metabolism,KEGG,2,17,7.08,1.53,1.87,0.030796842585600104,"INMT, TXNRD2",0.11914771604840775
RNA Polymerase I Promoter Clearance R-HSA-73854,Reactome,5,75,4.01,2.5,1.86,0.03120535420315441,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.11914771604840775
Protein Ubiquitination R-HSA-8852135,Reactome,5,65,4.63,3.28,1.84,0.03317812181695529,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.12478935369959306
RNA Polymerase I Transcription R-HSA-73864,Reactome,5,76,3.96,2.55,1.82,0.034180834289811,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.12667015060341724
RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236,Reactome,5,92,3.27,1.79,1.81,0.034874119000341854,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.12736634765342242
Drug ADME R-HSA-9748784,Reactome,5,81,3.71,2.45,1.76,0.03961180922980209,"GLYATL1, SLC16A1, UGT1A10, UGT3A1, UGT3A2",0.14260251322728754
Transcriptional Regulation By Small RNAs R-HSA-5578749,Reactome,5,72,4.18,3.07,1.74,0.0408899605519067,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.14513056421240123
HCMV Late Events R-HSA-9610379,Reactome,5,80,3.76,2.79,1.66,0.04818669127072275,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.16865341944752962
Antimicrobial Peptides R-HSA-6803157,Reactome,6,76,4.75,5.48,1.63,0.05183576518986237,"CTSG, ITLN1, PLA2G2A, PRTN3, RNASE3, RNASE8",0.17395226104116882
Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,Reactome,5,86,3.5,2.55,1.63,0.051856869546811304,"CD160, CD300LG, KLRC1, NCR2, TARP",0.17395226104116882
Reproduction R-HSA-1474165,Reactome,5,102,2.95,1.79,1.63,0.0519243612342533,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.17395226104116882
DNA Replication Pre-Initiation R-HSA-69002,Reactome,6,123,2.93,2.28,1.62,0.05246179301241599,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17, RPA4",0.17395226104116882
HCMV Early Events R-HSA-9609690,Reactome,5,92,3.27,2.31,1.6,0.05514427049837462,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.18047215799468058
MHC Class II Antigen Presentation R-HSA-2132295,Reactome,5,98,3.07,2.19,1.54,0.062301962626624116,"CD74, CTSL, CTSV, HLA-DPA1, HLA-DQB2",0.20128326387063178
Natural killer cell mediated cytotoxicity,KEGG,5,90,3.34,2.75,1.5,0.06698272473167942,"IFNB1, KLRC1, KLRC3, NCR2, TNFRSF10B",0.2122434553725218
Assembly Of Pre-Replicative Complex R-HSA-68867,Reactome,5,106,2.84,1.96,1.49,0.06794739065492636,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.2122434553725218
HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567,Reactome,5,104,2.89,2.05,1.49,0.06822111065545343,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.2122434553725218
Mitotic Prophase R-HSA-68875,Reactome,5,107,2.81,1.95,1.48,0.0697089474713124,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.21422749710696007
Activation Of HOX Genes During Differentiation R-HSA-5619507,Reactome,5,83,3.62,3.37,1.46,0.07187034865257248,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.21820876940299117
Regulation Of Necroptotic Cell Death R-HSA-5675482,Reactome,2,26,4.63,1.3,1.44,0.07528742325209181,"MLKL, TNFRSF10B",0.22586226975627546
Initial Triggering Of Complement R-HSA-166663,Reactome,2,21,5.73,1.93,1.41,0.07856870533430207,"FCN3, GZMM",0.23293310287346028
HCMV Infection R-HSA-9609646,Reactome,5,108,2.78,2.16,1.39,0.0823645512243169,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.2413472896340449
Homology Directed Repair R-HSA-5693538,Reactome,5,108,2.78,2.2,1.38,0.08407948964008188,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.24354059068161646
Telomere Maintenance R-HSA-157579,Reactome,5,86,3.5,3.66,1.36,0.08725531915555412,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.24986750485454134
RIPK1-mediated Regulated Necrosis R-HSA-5213460,Reactome,2,28,4.3,1.3,1.34,0.08977261871128245,"MLKL, TNFRSF10B",0.25418763949711437
Gene Silencing By RNA R-HSA-211000,Reactome,5,103,2.92,2.66,1.32,0.0930349289950973,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17",0.26049780118627247
Cellular Senescence R-HSA-2559583,Reactome,6,158,2.28,1.94,1.29,0.09831999105397626,"H2BC11, H2BC12, H2BC13, H2BC15, H2BC17, IFNB1",0.27227074445716504
