gene,taxa_count,codon_length,fn,max_lrt,psi_contrast,max_rho_contrast,p_evd_track_a,max_synergy_contrast,top3_synergy_contrast,best_site_codon,best_site_lrt,best_site_rho,valid_clades,pos_clades,pos_delta_sum,net_delta,delta_bovids,delta_camelids,delta_lagomorphs,delta_felids,delta_equids,delta_rodents,z_track_b,z_score,p_track_b,q_track_b,rank_track_b,q_track_a,rank_track_a,p_combined,p_value,fdr_q,psi_score,psi_track_b,max_rho_track_a,composite_rank,tier
NDFIP1,719,241,0.07625093311071396,43.660160064697266,0.011493252337616269,0.28867512941360474,2.3214763444909327e-13,2.535571336746216,2.0221176147460938,51,8.783476829528809,0.28867512941360474,6,4,0.1009538782215794,0.07610063026743494,0.02524426124220227,0.04706518137618015,0.017834593785148598,-0.012092119903144615,-0.012761128050999847,0.010809841818048397,-0.5420765162817299,-0.5420765162817299,0.7061171021709439,0.8959162603489517,12834,4.845626242595219e-11,641,4.643507800494717e-13,4.643507800494717e-13,9.691496794273247e-11,0.011493252337616269,0.011493252337616269,0.28867512941360474,22,Tier 0: Core Bottleneck Transducer
CABP5,680,174,0.09686275571584702,42.03923416137695,0.014001695566196043,0.3162277936935425,2.350897254643493e-13,13.293973922729492,5.169921398162842,50,42.03923416137695,0.3162277936935425,5,4,0.07454157849512554,0.056787965785531996,0.020029312462352986,0.03635407892298714,0.0012590188419868808,,-0.01775361270959354,0.016899168267798522,-0.14386311175559885,-0.14386311175559885,0.5571957174175456,0.8830152778136249,10230,4.845626242595219e-11,216,4.701239397775225e-13,4.701239397775225e-13,9.691496794273247e-11,0.014001695566196043,0.014001695566196043,0.3162277936935425,23,Tier 0: Core Bottleneck Transducer
EDF1,698,196,0.03615405783057213,34.09387969970703,0.01200312989754025,0.28867509961128235,2.491340467258541e-13,2.0422699451446533,1.556357741355896,102,25.139541625976562,0.08123736083507538,6,3,0.18818434544413098,0.14635426911567825,0.12846803374455992,0.03479500091241337,-0.04183007632845274,0.0,0.0,0.024921310787157713,-0.49474111067708654,-0.49474111067708654,0.6896085609296986,0.8923743558558063,12583,4.845626242595219e-11,1472,4.982680934517703e-13,4.982680934517703e-13,9.691496794273247e-11,0.01200312989754025,0.01200312989754025,0.28867509961128235,24,Tier 0: Core Bottleneck Transducer
FBXO8,721,320,0.08569500595331192,41.47018051147461,0.010572435517623328,0.28867512941360474,2.5046631435540396e-13,2.089507579803467,1.118571400642395,295,7.238266468048096,0.28867512941360474,6,4,0.07795025952049721,0.0526340021973973,0.019449349357739044,0.03677669730334994,0.02001976333855542,-0.011825570678613562,-0.01349068664448635,0.0017044495208527995,-0.7211609274936526,-0.7211609274936526,0.7645947458077167,0.9139441268981031,13623,4.845626242595219e-11,641,5.009881398621019e-13,5.009881398621019e-13,9.691496794273247e-11,0.010572435517623328,0.010572435517623328,0.28867512941360474,25,Tier 0: Core Bottleneck Transducer
OLFM3,714,486,0.07065803557634354,42.00401306152344,0.009709026129756729,0.3162277638912201,2.545186283952847e-13,1.2529857158660889,1.1475495100021362,14,40.98137283325195,0.03057451918721199,5,4,0.03851850520600859,0.03851850520600859,0.0009189619015473196,0.007466301424116953,0.017970095832145754,,0.0,0.012163146048198561,-0.9117123725914972,-0.9117123725914972,0.8190399254444267,0.9341770782333154,14277,4.845626242595219e-11,237,5.090372567906343e-13,5.090372567906343e-13,9.691496794273247e-11,0.009709026129756729,0.009709026129756729,0.3162277638912201,26,Tier 0: Core Bottleneck Transducer
MRPL14,718,151,0.11629839241504669,26.63181495666504,0.013508402588194551,0.28867509961128235,2.58904009342553e-13,2.1252615451812744,1.272352695465088,66,7.362122535705566,0.28867509961128235,6,3,0.06052729858713769,0.03423241958995486,0.013902123515292736,0.027038233634474204,-0.0006204071468648254,-0.013972630333469021,-0.011701841516848988,0.019586941437370758,-0.1415938968395529,-0.1415938968395529,0.5562996060115147,0.8830152778136249,10205,4.845626242595219e-11,1472,5.17808018685173e-13,5.17808018685173e-13,9.691496794273247e-11,0.013508402588194551,0.013508402588194551,0.28867509961128235,27,Tier 0: Core Bottleneck Transducer
OSTN,724,135,0.13406114280223846,41.45359802246094,0.01721700293833981,0.28867512941360474,2.617350780553464e-13,3.846985101699829,2.2420570850372314,92,13.326347351074219,0.28867512941360474,6,4,0.07056506942385816,0.04658463803525096,0.01968312919161056,0.029866890782399885,0.01379552006954557,-0.011561528566447375,-0.012418902822159836,0.0072195293803021575,0.6153314893150845,0.6153314893150845,0.2691679129742028,0.8830152778136249,3352,4.845626242595219e-11,641,5.234146449595301e-13,5.234146449595301e-13,9.691496794273247e-11,0.01721700293833981,0.01721700293833981,0.28867512941360474,28,Tier 0: Core Bottleneck Transducer
KIF3A,696,701,0.08267568796873093,41.464508056640625,0.010303603316831412,0.3162277936935425,2.6423307986075237e-13,3.0818185806274414,1.3900285959243774,113,9.745565414428711,0.3162277936935425,5,2,0.022106045774796707,-0.00031330422006205184,0.003509353093120984,0.018596692681675724,,-0.005548859338444415,-0.014239288308079372,-0.0026312023483349724,-0.8399788399391389,-0.8399788399391389,0.7995398745947313,0.926397833796057,14052,4.845626242595219e-11,216,5.284106485703433e-13,5.284106485703433e-13,9.691496794273247e-11,0.010303603316831412,0.010303603316831412,0.3162277936935425,29,Tier 0: Core Bottleneck Transducer
DERL1,720,263,0.06183703988790512,32.18206024169922,0.007848638828285827,0.28867509961128235,2.6612045900261463e-13,1.5689791440963745,1.1693936586380005,114,9.3566255569458,0.16768643260002136,6,4,0.061736253328011005,0.048381895656274675,0.019349965968350143,0.019646357300153367,0.021624040303257003,0.0,-0.013354357671736332,0.0011158897562504918,-1.268457096466044,-1.268457096466044,0.8976826185850317,0.9650665980747776,15147,4.845626242595219e-11,1472,5.321854068540688e-13,5.321854068540688e-13,9.691496794273247e-11,0.007848638828285827,0.007848638828285827,0.28867509961128235,30,Tier 0: Core Bottleneck Transducer
DNAJC27,708,285,0.105680450797081,41.588478088378906,0.01311599110392194,0.3162277340888977,2.700617507400329e-13,2.8392908573150635,1.647131323814392,70,8.97862720489502,0.3162277340888977,5,4,0.06072711060695041,0.050575504311490466,0.01630825852586577,0.026476128527607147,0.00500053228277399,,-0.010151606295459945,0.012942191270703509,-0.24584661121729612,-0.24584661121729612,0.5970995132122803,0.8847093191402982,10982,4.845626242595219e-11,375,5.401235014801387e-13,5.401235014801387e-13,9.691496794273247e-11,0.01311599110392194,0.01311599110392194,0.3162277340888977,31,Tier 0: Core Bottleneck Transducer
