,CONT_ADULTBODYMASS_G,CONT_GEOGRAPHICRANGE_KM2,CONT_GESTATIONLENGTH_D_ALLOMETRIC_RESIDUAL,CONT_LITTERSIZE_ALLOMETRIC_RESIDUAL,CONT_MAXLONGEVITY_M_ALLOMETRIC_RESIDUAL,CONT_MEANPRECIPITATION_MM,CONT_MEANTEMPERATURE_C,CONT_SEXUALMATURITYAGE_D_ALLOMETRIC_RESIDUAL,CONT_WEANINGAGE_D_ALLOMETRIC_RESIDUAL,DISC_AQUATIC_MARINE,DISC_BIPEDAL_SALTATION,DISC_CARNIVORY,DISC_DESERT_OSMOREGULATION,DISC_DIURNALITY,DISC_ECHOLOCATION,DISC_ENAMEL_LOSS_EDENTULISM,DISC_FOREGUT_FERMENTATION,DISC_HERBIVORY,DISC_HIBERNATION,DISC_HIGH_ALTITUDE,DISC_HIGH_SUGAR_FRUGIVORY,DISC_LOSS_GULO_VITAMINC,DISC_LOSS_UCP1_THERMOGENESIS,DISC_MYRMECOPHAGY,DISC_NOCTURNALITY,DISC_PETO_PARADOX_CANCER_RESISTANCE,DISC_PHYSICAL_BODY_ARMOR,DISC_PREHENSILE_TAIL,DISC_SCAR_FREE_REGENERATION,DISC_SPONTANEOUS_MENSTRUATION,DISC_SUBTERRANEAN_VISION_LOSS,DISC_SUBTERRANEAN,DISC_VENOM_RESISTANCE
AAMDC,0.10004608055269561,-0.09028633431300087,0.15863470003268323,0.11253993653218373,0.12944856719083525,0.13092747332765628,0.12440164297875973,0.1883483049471999,0.1486055425716709,0.0998900637697432,-0.0,0.08429071732044197,0.02602014302071293,-0.05561320197904565,0.05323634895497996,-0.0361387083359285,-0.0,-0.043413772583218886,0.07737274856693949,0.033022735563213626,-0.04125487877813343,0.04337075863345122,0.04901058354855629,0.100891196391819,-0.07405848272403272,0.04676440480856684,-7.388484183300823e-12,-2.861863210768443e-07,-0.0,0.03097694077081502,-0.1064632633160403,-0.0,0.060631725509976774
AAMP,0.10004608055269561,0.09028633431300087,0.15863470003268323,-0.11253993653218373,0.12944856719083525,0.13092747332765628,0.12440164297875973,0.1883483049471999,0.1486055425716709,-0.0998900637697432,0.07588996795929995,0.08429071732044197,-9.117646781550957e-08,-0.062078565822132094,0.05323634895497996,0.0361387083359285,-0.0,-0.05687547470920203,-0.03471054843467401,-0.031319313637722786,-0.0,-0.0035787968348238463,0.04901058354855629,-8.539119716330197e-14,0.0751072231529348,0.04676440480856684,-0.02353598406496315,0.04884825404743897,-0.0,-0.0,0.1064632633160403,-0.0,0.060631725509976774
AANAT,0.10004608055269561,0.09028633431300087,0.0,0.11253993653218373,0.12944856719083525,0.13092747332765628,0.12440164297875973,0.1883483049471999,-0.12129543636713219,0.0998900637697432,-0.0,-0.029935458449690693,-0.02602014302071293,0.062078565822132094,0.05323634895497996,-0.0361387083359285,0.09391708725927479,0.05687547470920203,-0.07737274856693949,-0.033022735563213626,-0.04125487877813343,0.04337075863345122,-0.04901058354855629,-0.0,0.0751072231529348,0.04676440480856684,-0.0,-0.04118739441765421,-0.0,-0.03097694077081502,-5.323087615374471e-14,-0.0,-0.060631725509976774
AAR2,-0.10004608055269561,-0.08657711388189934,0.15863470003268323,-0.11253993653218373,-0.12944856719083525,0.13092747332765628,0.12440164297875973,0.1883483049471999,0.1486055425716709,0.0998900637697432,0.07588996795929995,-0.08429071732044197,-0.02294027295435383,-0.062078565822132094,0.05323634895497996,0.0361387083359285,0.018993864382282805,-0.05687547470920203,-0.07737274856693949,-0.03221498591241039,-0.0,0.04337075863345122,0.04901058354855629,0.100891196391819,-0.0751072231529348,0.04676440480856684,0.04530515861521274,-0.04884825404743897,-0.0,-0.0,0.1064632633160403,-0.0,0.060631725509976774
AARD,0.10004608055269561,-0.015898169254391015,0.15863470003268323,0.0,0.547951539625622,0.13092747332765628,0.12440164297875973,0.1883483049471999,0.23155559265743383,0.0998900637697432,-0.0,0.0,0.02602014302071293,-0.062078565822132094,-0.0,0.0361387083359285,-0.0,-0.036050089810597895,-0.05527625672625768,0.033022735563213626,-0.0,0.04337075863345122,0.04901058354855629,0.100891196391819,-0.0751072231529348,0.04676440480856684,0.04530515861521274,-0.04373527921321558,-0.0,-0.03097694077081502,-0.0,-0.0,-0.011660853739329465
AARS1,0.10004608055269561,0.09028633431300087,-0.15863470003268323,0.11253993653218373,-0.12944856719083525,0.13092747332765628,-0.12440164297875973,0.1883483049471999,-0.1486055425716709,-0.07233498163181808,-0.07588996795929995,-0.08429071732044197,-0.02602014302071293,-0.04387332063491807,-0.05323634895497996,-0.03389495068339464,-0.018993864382282805,-0.05687547470920203,-0.07737274856693949,-0.033022735563213626,-0.0,-0.04160277728541464,-0.041180009245944435,-0.100891196391819,0.0751072231529348,-0.044762081386047335,0.04530515861521274,0.04884825404743897,-0.0,-0.03097694077081502,-0.1064632633160403,-0.0,0.060631725509976774
AARS2,0.10004608055269561,0.09028633431300087,0.15863470003268323,-0.11253993653218373,0.12944856719083525,0.13092747332765628,0.12440164297875973,0.1883483049471999,-0.1486055425716709,0.0998900637697432,-0.07588996795929995,0.08429071732044197,-0.02602014302071293,-0.062078565822132094,-0.05244159987890551,0.0361387083359285,-0.0,0.05687547470920203,0.07737274856693949,-0.033022735563213626,-0.0,0.04337075863345122,0.04901058354855629,0.100891196391819,0.0751072231529348,-0.04676440480856684,-0.04221286427950212,0.04884825404743897,-0.0,-0.0,-0.1064632633160403,-0.0,0.060631725509976774
AARSD1,0.10004608055269561,-0.09028633431300087,0.15863470003268323,0.11253993653218373,-0.12944856719083525,0.13092747332765628,-0.12440164297875973,-0.1883483049471999,-0.1486055425716709,-0.0998900637697432,-0.0,-0.08429071732044197,-0.010183129827521143,0.062078565822132094,-0.05078110068142038,-0.0346499649673329,-0.0,-0.05594508249691165,-0.07737274856693949,-0.011087200828497824,-0.04125487877813343,0.04337075863345122,-0.04901058354855629,0.100891196391819,0.0751072231529348,-0.04676440480856684,-7.388484183300823e-12,0.04884825404743897,-0.0,-0.03097694077081502,-5.323087615374471e-14,-0.0,0.060631725509976774
AASDH,-0.09337358480676548,0.09028633431300087,-0.15629285314753538,0.11253993653218373,-0.12944856719083525,-0.13092747332765628,-0.12253226004572326,0.1883483049471999,-0.1486055425716709,-0.0998900637697432,-0.015161296084475926,0.08429071732044197,0.02602014302071293,0.062078565822132094,-0.04923007412940333,-0.028730824787646842,-0.018993864382282805,0.05687547470920203,-0.07737274856693949,0.033022735563213626,-0.04125487877813343,-0.04337075863345122,-0.03188261375396537,-0.100891196391819,0.0751072231529348,-0.026788649232087795,-0.004039959553541947,-0.0,-0.0,-0.001477971217559272,0.1064632633160403,-0.0,-0.060631725509976774
AASDHPPT,-0.007645124247395947,0.09028633431300087,0.15863470003268323,-0.008569650843599503,0.12944856719083525,0.13092747332765628,-0.12440164297875973,0.1883483049471999,0.1486055425716709,-0.09394685217111734,-0.015161296084475926,-0.08429071732044197,-0.02578302981218419,-0.062078565822132094,0.05323634895497996,-0.03191009147353079,-0.0,0.05687547470920203,0.07737274856693949,0.033022735563213626,-0.0,-0.010673222682479104,-0.04901058354855629,0.100891196391819,-0.0751072231529348,-0.04676440480856684,-0.04394969450810982,-0.04828767636232677,-0.0,-0.03097694077081502,-0.1064632633160403,-0.0,-0.060631725509976774
